Table 1
participantid;from_timestamp;to_timestamps;hour_diff;venueid;venuetype
619;3/30/22;3/30/22;0;1800;Pub
619;3/30/22;3/30/22;7;1414;Apartment
619;3/30/22;3/30/22;2;1798;Pub
619;3/30/22;3/30/22;0;1414;Apartment
619;3/30/22;3/30/22;2;1798;Pub
619;3/30/22;3/30/22;0;1414;Apartment
619;3/30/22;3/30/22;2;1798;Pub
619;3/30/22;3/31/22;16;1414;Apartment
619;3/31/22;3/31/22;8;1766;Workplace
619;3/31/22;4/1/22;15;1414;Apartment
619;4/1/22;4/1/22;8;1766;Workplace
619;4/1/22;4/2/22;15;1414;Apartment
619;4/2/22;4/2/22;8;1766;Workplace
619;4/2/22;4/3/22;15;1414;Apartment
619;4/3/22;4/3/22;8;1766;Workplace
619;4/3/22;4/4/22;15;1414;Apartment
619;4/4/22;4/4/22;8;1766;Workplace
619;4/4/22;4/5/22;7;1414;Apartment
619;4/5/22;4/5/22;0;1803;Restaurant
619;4/5/22;4/6/22;7;1414;Apartment
619;4/6/22;4/6/22;0;1803;Restaurant
619;4/6/22;4/7/22;0;1414;Apartment
619;4/7/22;4/7/22;8;1766;Workplace
619;4/7/22;4/7/22;1;1414;Apartment
619;4/7/22;4/7/22;3;1344;Pub
619;4/7/22;4/7/22;1;1414;Apartment
619;4/7/22;4/8/22;3;1344;Pub
619;4/8/22;4/8/22;6;1414;Apartment
619;4/8/22;4/8/22;8;1766;Workplace
619;4/8/22;4/9/22;15;1414;Apartment
619;4/9/22;4/9/22;8;1766;Workplace
619;4/9/22;4/9/22;0;1414;Apartment
619;4/9/22;4/9/22;1;1799;Pub
619;4/9/22;4/9/22;0;1414;Apartment
619;4/9/22;4/9/22;1;1798;Pub
619;4/9/22;4/9/22;0;1414;Apartment
619;4/9/22;4/9/22;1;1798;Pub
619;4/9/22;4/9/22;0;1414;Apartment
619;4/9/22;4/10/22;1;1798;Pub
619;4/10/22;4/10/22;7;1414;Apartment
619;4/10/22;4/10/22;8;1766;Workplace
619;4/10/22;4/11/22;15;1414;Apartment
619;4/11/22;4/11/22;8;1766;Workplace
619;4/11/22;4/13/22;15;1414;Apartment
619;4/13/22;4/13/22;0;1803;Restaurant
619;4/13/22;4/14/22;0;1414;Apartment
619;4/14/22;4/14/22;8;1766;Workplace
619;4/14/22;4/15/22;15;1414;Apartment
619;4/15/22;4/15/22;8;1766;Workplace
619;4/15/22;4/16/22;15;1414;Apartment
619;4/16/22;4/16/22;8;1766;Workplace
619;4/16/22;4/17/22;15;1414;Apartment
619;4/17/22;4/17/22;8;1766;Workplace
619;4/17/22;4/17/22;0;1414;Apartment
619;4/17/22;4/17/22;1;1800;Pub
619;4/17/22;4/17/22;0;1414;Apartment
619;4/17/22;4/17/22;2;1798;Pub
619;4/17/22;4/17/22;0;1414;Apartment
619;4/17/22;4/17/22;1;1798;Pub
619;4/17/22;4/17/22;0;1414;Apartment
619;4/17/22;4/18/22;1;1800;Pub
619;4/18/22;4/18/22;7;1414;Apartment
619;4/18/22;4/18/22;8;1766;Workplace
619;4/18/22;4/21/22;15;1414;Apartment
619;4/21/22;4/21/22;8;1766;Workplace
619;4/21/22;4/22/22;15;1414;Apartment
619;4/22/22;4/22/22;8;1766;Workplace
619;4/22/22;4/23/22;15;1414;Apartment
619;4/23/22;4/23/22;8;1766;Workplace
619;4/23/22;4/24/22;15;1414;Apartment
619;4/24/22;4/24/22;8;1766;Workplace
619;4/24/22;4/25/22;15;1414;Apartment
619;4/25/22;4/25/22;8;1766;Workplace
619;4/25/22;4/25/22;0;1414;Apartment
619;4/25/22;4/25/22;1;1798;Pub
619;4/25/22;4/25/22;0;1414;Apartment
619;4/25/22;4/25/22;2;1799;Pub
619;4/25/22;4/25/22;0;1414;Apartment
619;4/25/22;4/26/22;2;1798;Pub
619;4/26/22;4/26/22;0;1414;Apartment
619;4/26/22;4/26/22;0;1803;Restaurant
619;4/26/22;4/27/22;23;1414;Apartment
619;4/27/22;4/27/22;0;1803;Restaurant
619;4/27/22;4/28/22;8;1414;Apartment
619;4/28/22;4/28/22;8;1766;Workplace
619;4/28/22;4/29/22;15;1414;Apartment
619;4/29/22;4/29/22;8;1766;Workplace
619;4/29/22;4/30/22;15;1414;Apartment
619;4/30/22;4/30/22;8;1766;Workplace
619;4/30/22;5/1/22;15;1414;Apartment
619;5/1/22;5/1/22;8;1766;Workplace
619;5/1/22;5/2/22;15;1414;Apartment
619;5/2/22;5/2/22;8;1766;Workplace
619;5/2/22;5/3/22;15;1414;Apartment
619;5/3/22;5/3/22;0;1803;Restaurant
619;5/3/22;5/4/22;15;1414;Apartment
619;5/4/22;5/4/22;0;1803;Restaurant
619;5/4/22;5/4/22;7;1414;Apartment
619;5/4/22;5/4/22;0;1803;Restaurant
619;5/4/22;5/5/22;0;1414;Apartment
619;5/5/22;5/5/22;8;1766;Workplace
619;5/5/22;5/6/22;15;1414;Apartment
619;5/6/22;5/6/22;8;1766;Workplace
619;5/6/22;5/7/22;15;1414;Apartment
619;5/7/22;5/7/22;8;1766;Workplace
619;5/7/22;5/8/22;15;1414;Apartment
619;5/8/22;5/8/22;8;1766;Workplace
619;5/8/22;5/8/22;0;1414;Apartment
619;5/8/22;5/8/22;2;1799;Pub
619;5/8/22;5/8/22;0;1414;Apartment
619;5/8/22;5/8/22;2;1798;Pub
619;5/8/22;5/8/22;0;1414;Apartment
619;5/8/22;5/9/22;2;1798;Pub
619;5/9/22;5/9/22;7;1414;Apartment
619;5/9/22;5/9/22;8;1766;Workplace
619;5/9/22;5/10/22;6;1414;Apartment
619;5/10/22;5/10/22;0;1803;Restaurant
619;5/10/22;5/11/22;23;1414;Apartment
619;5/11/22;5/11/22;0;1803;Restaurant
619;5/11/22;5/12/22;8;1414;Apartment
619;5/12/22;5/12/22;8;1766;Workplace
619;5/12/22;5/13/22;15;1414;Apartment
619;5/13/22;5/13/22;8;1766;Workplace
619;5/13/22;5/14/22;15;1414;Apartment
619;5/14/22;5/14/22;8;1766;Workplace
619;5/14/22;5/15/22;15;1414;Apartment
619;5/15/22;5/15/22;8;1766;Workplace
619;5/15/22;5/16/22;15;1414;Apartment
619;5/16/22;5/16/22;8;1766;Workplace
619;5/16/22;5/17/22;15;1414;Apartment
619;5/17/22;5/17/22;0;1803;Restaurant
619;5/17/22;5/18/22;23;1414;Apartment
619;5/18/22;5/18/22;0;1803;Restaurant
619;5/18/22;5/19/22;0;1414;Apartment
619;5/19/22;5/19/22;8;1766;Workplace
619;5/19/22;5/20/22;15;1414;Apartment
619;5/20/22;5/20/22;8;1766;Workplace
619;5/20/22;5/20/22;0;1414;Apartment
619;5/20/22;5/20/22;2;1799;Pub
619;5/20/22;5/20/22;0;1414;Apartment
619;5/20/22;5/20/22;2;1798;Pub
619;5/20/22;5/20/22;0;1414;Apartment
619;5/20/22;5/21/22;2;1798;Pub
619;5/21/22;5/21/22;7;1414;Apartment
619;5/21/22;5/21/22;8;1766;Workplace
619;5/21/22;5/22/22;15;1414;Apartment
619;5/22/22;5/22/22;8;1766;Workplace
619;5/22/22;5/23/22;15;1414;Apartment
619;5/23/22;5/23/22;8;1766;Workplace
619;5/23/22;5/24/22;7;1414;Apartment
619;5/24/22;5/24/22;0;1803;Restaurant
619;5/24/22;5/24/22;7;1414;Apartment
619;5/24/22;5/24/22;0;1803;Restaurant
619;5/24/22;5/25/22;15;1414;Apartment
619;5/25/22;5/25/22;0;1803;Restaurant
619;5/25/22;5/26/22;8;1414;Apartment
619;5/26/22;5/26/22;8;1766;Workplace
619;5/26/22;5/27/22;15;1414;Apartment
619;5/27/22;5/27/22;8;1766;Workplace
619;5/27/22;5/28/22;15;1414;Apartment
619;5/28/22;5/28/22;8;1766;Workplace
619;5/28/22;5/29/22;15;1414;Apartment
619;5/29/22;5/29/22;8;1766;Workplace
619;5/29/22;5/30/22;15;1414;Apartment
619;5/30/22;5/30/22;8;1766;Workplace
619;5/30/22;5/31/22;7;1414;Apartment
619;5/31/22;5/31/22;0;1803;Restaurant
619;5/31/22;6/1/22;7;1414;Apartment
619;6/1/22;6/1/22;0;1803;Restaurant
619;6/1/22;6/2/22;0;1414;Apartment
619;6/2/22;6/2/22;8;1766;Workplace
619;6/2/22;6/2/22;0;1414;Apartment
619;6/2/22;6/2/22;1;1799;Pub
619;6/2/22;6/2/22;0;1414;Apartment
619;6/2/22;6/2/22;1;1798;Pub
619;6/2/22;6/2/22;0;1414;Apartment
619;6/2/22;6/2/22;1;1799;Pub
619;6/2/22;6/2/22;0;1414;Apartment
619;6/2/22;6/3/22;1;1798;Pub
619;6/3/22;6/3/22;7;1414;Apartment
619;6/3/22;6/3/22;8;1766;Workplace
619;6/3/22;6/4/22;15;1414;Apartment
619;6/4/22;6/4/22;8;1766;Workplace
619;6/4/22;6/4/22;1;1414;Apartment
619;6/4/22;6/4/22;3;1344;Pub
619;6/4/22;6/4/22;1;1414;Apartment
619;6/4/22;6/5/22;1;1342;Pub
619;6/5/22;6/5/22;0;448;Restaurant
619;6/5/22;6/5/22;1;1342;Pub
619;6/5/22;6/5/22;6;1414;Apartment
619;6/5/22;6/5/22;8;1766;Workplace
619;6/5/22;6/6/22;15;1414;Apartment
619;6/6/22;6/6/22;8;1766;Workplace
619;6/6/22;6/6/22;1;1414;Apartment
619;6/6/22;6/6/22;3;1342;Pub
619;6/6/22;6/6/22;0;1414;Apartment
619;6/6/22;6/7/22;1;1798;Pub
619;6/7/22;6/8/22;23;1414;Apartment
619;6/8/22;6/8/22;0;1803;Restaurant
619;6/8/22;6/8/22;7;1414;Apartment
619;6/8/22;6/8/22;0;1803;Restaurant
619;6/8/22;6/9/22;0;1414;Apartment
619;6/9/22;6/9/22;8;1766;Workplace
619;6/9/22;6/10/22;15;1414;Apartment
619;6/10/22;6/10/22;8;1766;Workplace
619;6/10/22;6/11/22;15;1414;Apartment
619;6/11/22;6/11/22;8;1766;Workplace
619;6/11/22;6/12/22;15;1414;Apartment
619;6/12/22;6/12/22;8;1766;Workplace
619;6/12/22;6/13/22;15;1414;Apartment
619;6/13/22;6/13/22;8;1766;Workplace
619;6/13/22;6/14/22;7;1414;Apartment
619;6/14/22;6/14/22;1;1798;Pub
619;6/14/22;6/15/22;22;1414;Apartment
619;6/15/22;6/15/22;0;1803;Restaurant
619;6/15/22;6/15/22;0;1414;Apartment
619;6/15/22;6/15/22;0;1800;Pub
619;6/15/22;6/15/22;6;1414;Apartment
619;6/15/22;6/15/22;0;1803;Restaurant
619;6/15/22;6/15/22;0;1414;Apartment
619;6/15/22;6/15/22;1;1798;Pub
619;6/15/22;6/15/22;0;1414;Apartment
619;6/15/22;6/15/22;2;1798;Pub
619;6/15/22;6/15/22;0;1414;Apartment
619;6/15/22;6/15/22;1;1798;Pub
619;6/15/22;6/16/22;16;1414;Apartment
619;6/16/22;6/16/22;8;1766;Workplace
619;6/16/22;6/16/22;0;1414;Apartment
619;6/16/22;6/16/22;2;1799;Pub
619;6/16/22;6/16/22;0;1414;Apartment
619;6/16/22;6/16/22;2;1800;Pub
619;6/16/22;6/16/22;0;1414;Apartment
619;6/16/22;6/16/22;1;1798;Pub
619;6/16/22;6/17/22;0;1414;Apartment
619;6/17/22;6/17/22;1;1798;Pub
619;6/17/22;6/17/22;7;1414;Apartment
619;6/17/22;6/17/22;8;1766;Workplace
619;6/17/22;6/18/22;15;1414;Apartment
619;6/18/22;6/18/22;8;1766;Workplace
619;6/18/22;6/18/22;0;1414;Apartment
619;6/18/22;6/18/22;1;1799;Pub
619;6/18/22;6/18/22;0;1414;Apartment
619;6/18/22;6/18/22;2;1799;Pub
619;6/18/22;6/18/22;0;1414;Apartment
619;6/18/22;6/19/22;1;1798;Pub
619;6/19/22;6/19/22;8;1414;Apartment
619;6/19/22;6/19/22;8;1766;Workplace
619;6/19/22;6/20/22;15;1414;Apartment
619;6/20/22;6/20/22;8;1766;Workplace
619;6/20/22;6/21/22;7;1414;Apartment
619;6/21/22;6/21/22;0;1803;Restaurant
619;6/21/22;6/21/22;7;1414;Apartment
619;6/21/22;6/21/22;0;1803;Restaurant
619;6/21/22;6/23/22;0;1414;Apartment
619;6/23/22;6/23/22;8;1766;Workplace
619;6/23/22;6/24/22;15;1414;Apartment
619;6/24/22;6/24/22;8;1766;Workplace
619;6/24/22;6/25/22;15;1414;Apartment
619;6/25/22;6/25/22;8;1766;Workplace
619;6/25/22;6/26/22;15;1414;Apartment
619;6/26/22;6/26/22;8;1766;Workplace
619;6/26/22;6/27/22;15;1414;Apartment
619;6/27/22;6/27/22;8;1766;Workplace
619;6/27/22;6/28/22;7;1414;Apartment
619;6/28/22;6/28/22;1;1799;Pub
619;6/28/22;6/28/22;6;1414;Apartment
619;6/28/22;6/28/22;0;1803;Restaurant
619;6/28/22;6/28/22;0;1414;Apartment
619;6/28/22;6/28/22;2;1798;Pub
619;6/28/22;6/28/22;0;1414;Apartment
619;6/28/22;6/28/22;2;1799;Pub
619;6/28/22;6/28/22;0;1414;Apartment
619;6/28/22;6/28/22;2;1798;Pub
619;6/28/22;6/29/22;7;1414;Apartment
619;6/29/22;6/29/22;0;1803;Restaurant
619;6/29/22;6/29/22;7;1414;Apartment
619;6/29/22;6/29/22;0;1803;Restaurant
619;6/29/22;6/30/22;0;1414;Apartment
619;6/30/22;6/30/22;8;1766;Workplace
619;6/30/22;7/1/22;15;1414;Apartment
619;7/1/22;7/1/22;8;1766;Workplace
619;7/1/22;7/2/22;15;1414;Apartment
619;7/2/22;7/2/22;8;1766;Workplace
619;7/2/22;7/3/22;15;1414;Apartment
619;7/3/22;7/3/22;8;1766;Workplace
619;7/3/22;7/4/22;15;1414;Apartment
619;7/4/22;7/4/22;8;1766;Workplace
619;7/4/22;7/5/22;7;1414;Apartment
619;7/5/22;7/5/22;0;1803;Restaurant
619;7/5/22;7/6/22;23;1414;Apartment
619;7/6/22;7/6/22;0;1803;Restaurant
619;7/6/22;7/6/22;0;1414;Apartment
619;7/6/22;7/6/22;0;1798;Pub
619;7/6/22;7/6/22;6;1414;Apartment
619;7/6/22;7/6/22;0;1803;Restaurant
619;7/6/22;7/6/22;1;1414;Apartment
619;7/6/22;7/6/22;2;1344;Pub
619;7/6/22;7/6/22;0;1414;Apartment
619;7/6/22;7/6/22;1;1798;Pub
619;7/6/22;7/6/22;0;1414;Apartment
619;7/6/22;7/6/22;1;1798;Pub
619;7/6/22;7/7/22;15;1414;Apartment
619;7/7/22;7/7/22;8;1766;Workplace
619;7/7/22;7/7/22;0;1414;Apartment
619;7/7/22;7/7/22;2;1798;Pub
619;7/7/22;7/7/22;0;1414;Apartment
619;7/7/22;7/7/22;1;1798;Pub
619;7/7/22;7/7/22;0;1414;Apartment
619;7/7/22;7/7/22;2;1799;Pub
619;7/7/22;7/8/22;0;1414;Apartment
619;7/8/22;7/8/22;1;1798;Pub
619;7/8/22;7/8/22;7;1414;Apartment
619;7/8/22;7/8/22;8;1766;Workplace
619;7/8/22;7/9/22;15;1414;Apartment
619;7/9/22;7/9/22;8;1766;Workplace
619;7/9/22;7/9/22;0;1414;Apartment
619;7/9/22;7/9/22;2;1799;Pub
619;7/9/22;7/9/22;0;1414;Apartment
619;7/9/22;7/9/22;2;1799;Pub
619;7/9/22;7/9/22;0;1414;Apartment
619;7/9/22;7/10/22;2;1798;Pub
619;7/10/22;7/10/22;7;1414;Apartment
619;7/10/22;7/10/22;8;1766;Workplace
619;7/10/22;7/11/22;15;1414;Apartment
619;7/11/22;7/11/22;8;1766;Workplace
619;7/11/22;7/11/22;0;1414;Apartment
619;7/11/22;7/11/22;2;1798;Pub
619;7/11/22;7/11/22;1;1414;Apartment
619;7/11/22;7/11/22;2;1342;Pub
619;7/11/22;7/11/22;0;1414;Apartment
619;7/11/22;7/12/22;1;1798;Pub
619;7/12/22;7/14/22;7;1414;Apartment
619;7/14/22;7/14/22;8;1766;Workplace
619;7/14/22;7/15/22;15;1414;Apartment
619;7/15/22;7/15/22;8;1766;Workplace
619;7/15/22;7/16/22;15;1414;Apartment
619;7/16/22;7/16/22;8;1766;Workplace
619;7/16/22;7/16/22;0;1414;Apartment
619;7/16/22;7/16/22;1;1798;Pub
619;7/16/22;7/16/22;0;1414;Apartment
619;7/16/22;7/16/22;1;1798;Pub
619;7/16/22;7/16/22;0;1414;Apartment
619;7/16/22;7/16/22;2;1800;Pub
619;7/16/22;7/17/22;8;1414;Apartment
619;7/17/22;7/17/22;8;1766;Workplace
619;7/17/22;7/17/22;1;1414;Apartment
619;7/17/22;7/17/22;2;1342;Pub
619;7/17/22;7/17/22;0;1414;Apartment
619;7/17/22;7/17/22;2;1798;Pub
619;7/17/22;7/18/22;0;1414;Apartment
619;7/18/22;7/18/22;1;1798;Pub
619;7/18/22;7/18/22;7;1414;Apartment
619;7/18/22;7/18/22;8;1766;Workplace
619;7/18/22;7/19/22;7;1414;Apartment
619;7/19/22;7/19/22;1;1798;Pub
619;7/19/22;7/19/22;6;1414;Apartment
619;7/19/22;7/19/22;0;1803;Restaurant
619;7/19/22;7/19/22;0;1414;Apartment
619;7/19/22;7/19/22;2;1798;Pub
619;7/19/22;7/19/22;0;1414;Apartment
619;7/19/22;7/19/22;2;1798;Pub
619;7/19/22;7/19/22;0;1414;Apartment
619;7/19/22;7/19/22;2;1799;Pub
619;7/19/22;7/20/22;7;1414;Apartment
619;7/20/22;7/20/22;1;1799;Pub
619;7/20/22;7/20/22;7;1414;Apartment
619;7/20/22;7/20/22;2;1799;Pub
619;7/20/22;7/20/22;0;1414;Apartment
619;7/20/22;7/20/22;2;1799;Pub
619;7/20/22;7/20/22;0;1414;Apartment
619;7/20/22;7/20/22;1;1799;Pub
619;7/20/22;7/20/22;0;1414;Apartment
619;7/20/22;7/20/22;2;1798;Pub
619;7/20/22;7/20/22;0;1414;Apartment
619;7/20/22;7/20/22;2;1798;Pub
619;7/20/22;7/20/22;1;1414;Apartment
619;7/20/22;7/21/22;1;1342;Pub
619;7/21/22;7/21/22;0;448;Restaurant
619;7/21/22;7/21/22;1;1342;Pub
619;7/21/22;7/21/22;6;1414;Apartment
619;7/21/22;7/21/22;8;1766;Workplace
619;7/21/22;7/22/22;15;1414;Apartment
619;7/22/22;7/22/22;8;1766;Workplace
619;7/22/22;7/22/22;0;1414;Apartment
619;7/22/22;7/22/22;2;1798;Pub
619;7/22/22;7/22/22;0;1414;Apartment
619;7/22/22;7/22/22;2;1799;Pub
619;7/22/22;7/22/22;0;1414;Apartment
619;7/22/22;7/23/22;2;1798;Pub
619;7/23/22;7/23/22;7;1414;Apartment
619;7/23/22;7/23/22;8;1766;Workplace
619;7/23/22;7/24/22;15;1414;Apartment
619;7/24/22;7/24/22;8;1766;Workplace
619;7/24/22;7/25/22;15;1414;Apartment
619;7/25/22;7/25/22;8;1766;Workplace
619;7/25/22;7/26/22;15;1414;Apartment
619;7/26/22;7/26/22;0;1803;Restaurant
619;7/26/22;7/27/22;15;1414;Apartment
619;7/27/22;7/27/22;0;1803;Restaurant
619;7/27/22;7/27/22;7;1414;Apartment
619;7/27/22;7/27/22;0;1803;Restaurant
619;7/27/22;7/28/22;0;1414;Apartment
619;7/28/22;7/28/22;8;1766;Workplace
619;7/28/22;7/29/22;15;1414;Apartment
619;7/29/22;7/29/22;8;1766;Workplace
619;7/29/22;7/29/22;0;1414;Apartment
619;7/29/22;7/29/22;1;1798;Pub
619;7/29/22;7/29/22;0;1414;Apartment
619;7/29/22;7/29/22;2;1798;Pub
619;7/29/22;7/29/22;0;1414;Apartment
619;7/29/22;7/30/22;2;1798;Pub
619;7/30/22;7/30/22;8;1414;Apartment
619;7/30/22;7/30/22;8;1766;Workplace
619;7/30/22;7/31/22;15;1414;Apartment
619;7/31/22;7/31/22;8;1766;Workplace
619;7/31/22;8/1/22;15;1414;Apartment
619;8/1/22;8/1/22;8;1766;Workplace
619;8/1/22;8/2/22;7;1414;Apartment
619;8/2/22;8/2/22;0;1803;Restaurant
619;8/2/22;8/2/22;7;1414;Apartment
619;8/2/22;8/2/22;0;1803;Restaurant
619;8/2/22;8/3/22;15;1414;Apartment
619;8/3/22;8/3/22;0;1803;Restaurant
619;8/3/22;8/3/22;7;1414;Apartment
619;8/3/22;8/3/22;0;1803;Restaurant
619;8/3/22;8/4/22;0;1414;Apartment
619;8/4/22;8/4/22;8;1766;Workplace
619;8/4/22;8/5/22;15;1414;Apartment
619;8/5/22;8/5/22;8;1766;Workplace
619;8/5/22;8/6/22;15;1414;Apartment
619;8/6/22;8/6/22;8;1766;Workplace
619;8/6/22;8/6/22;0;1414;Apartment
619;8/6/22;8/6/22;1;1798;Pub
619;8/6/22;8/6/22;0;1414;Apartment
619;8/6/22;8/6/22;1;1798;Pub
619;8/6/22;8/6/22;0;1414;Apartment
619;8/6/22;8/6/22;1;1798;Pub
619;8/6/22;8/7/22;0;1414;Apartment
619;8/7/22;8/7/22;1;1798;Pub
619;8/7/22;8/7/22;7;1414;Apartment
619;8/7/22;8/7/22;8;1766;Workplace
619;8/7/22;8/8/22;15;1414;Apartment
619;8/8/22;8/8/22;8;1766;Workplace
619;8/8/22;8/9/22;15;1414;Apartment
619;8/9/22;8/9/22;0;1803;Restaurant
619;8/9/22;8/10/22;15;1414;Apartment
619;8/10/22;8/10/22;0;1803;Restaurant
619;8/10/22;8/10/22;7;1414;Apartment
619;8/10/22;8/10/22;0;1803;Restaurant
619;8/10/22;8/11/22;0;1414;Apartment
619;8/11/22;8/11/22;8;1766;Workplace
619;8/11/22;8/12/22;15;1414;Apartment
619;8/12/22;8/12/22;8;1766;Workplace
619;8/12/22;8/13/22;15;1414;Apartment
619;8/13/22;8/13/22;8;1766;Workplace
619;8/13/22;8/14/22;15;1414;Apartment
619;8/14/22;8/14/22;8;1766;Workplace
619;8/14/22;8/15/22;15;1414;Apartment
619;8/15/22;8/15/22;8;1766;Workplace
619;8/15/22;8/16/22;7;1414;Apartment
619;8/16/22;8/16/22;0;1803;Restaurant
619;8/16/22;8/16/22;7;1414;Apartment
619;8/16/22;8/16/22;0;1803;Restaurant
619;8/16/22;8/17/22;23;1414;Apartment
619;8/17/22;8/17/22;0;1803;Restaurant
619;8/17/22;8/18/22;0;1414;Apartment
619;8/18/22;8/18/22;8;1766;Workplace
619;8/18/22;8/18/22;0;1414;Apartment
619;8/18/22;8/18/22;2;1798;Pub
619;8/18/22;8/18/22;0;1414;Apartment
619;8/18/22;8/18/22;2;1798;Pub
619;8/18/22;8/18/22;0;1414;Apartment
619;8/18/22;8/19/22;2;1798;Pub
619;8/19/22;8/19/22;7;1414;Apartment
619;8/19/22;8/19/22;8;1766;Workplace
619;8/19/22;8/20/22;15;1414;Apartment
619;8/20/22;8/20/22;8;1766;Workplace
619;8/20/22;8/21/22;15;1414;Apartment
619;8/21/22;8/21/22;8;1766;Workplace
619;8/21/22;8/22/22;15;1414;Apartment
619;8/22/22;8/22/22;8;1766;Workplace
619;8/22/22;8/23/22;7;1414;Apartment
619;8/23/22;8/23/22;0;1803;Restaurant
619;8/23/22;8/23/22;7;1414;Apartment
619;8/23/22;8/23/22;0;1803;Restaurant
619;8/23/22;8/24/22;15;1414;Apartment
