dt;venuetype;venueid;revenue;
2/27/23;Pub;892;593,78816418;
4/5/22;Pub;1799;598,9665228;
10/28/22;Pub;443;340,12407567;
11/16/22;Pub;1799;172,202875305;
5/15/22;Pub;1344;3218,32558335;
4/27/23;Pub;1344;1083,1904876;
8/6/22;Pub;1799;1055,678496435;
9/5/22;Pub;892;489,00201756;
5/11/23;Pub;1800;347,03274632;
5/4/22;Pub;1344;1010,28343555;
11/24/22;Pub;894;196,97936064;
5/19/22;Pub;1800;489,92858304;
12/3/22;Pub;1799;1392,59716551;
5/9/22;Pub;894;430,8923514;
2/7/23;Pub;1798;288,63378025;
7/1/22;Pub;442;347,80632915;
4/14/23;Pub;892;430,78749166;
7/2/22;Pub;893;1958,9423898;
12/1/22;Pub;893;563,9379607;
3/7/22;Pub;442;596,2394214;
7/23/22;Pub;1799;1175,471800995;
1/18/23;Pub;1800;571,58334688;
9/7/22;Pub;1799;329,43158754;
5/5/22;Pub;1798;727,35712623;
5/5/22;Pub;1342;1767,50456625;
10/21/22;Pub;442;380,93074145;
11/17/22;Pub;892;197,92938806;
10/3/22;Pub;1799;456,711973635;
4/19/23;Pub;1342;1315,02339729;
9/27/22;Pub;1343;378,89900748;
12/10/22;Pub;442;1175,91663665;
6/4/22;Pub;442;968,889059775;
3/19/23;Pub;1799;1355,161757835;
1/30/23;Pub;1343;557,82353879;
10/22/22;Pub;1800;1755,57742256;
3/4/22;Pub;894;1034,14164336;
3/1/23;Pub;1799;314,45742447;
1/12/23;Pub;892;244,50100878;
8/20/22;Pub;442;1308,41428585;
10/19/22;Pub;443;250,27998021;
11/30/22;Pub;1798;357,90588751;
4/3/23;Pub;1799;321,944506005;
8/24/22;Pub;1343;536,77359393;
4/20/23;Pub;1344;1072,77519445;
11/20/22;Pub;894;1169,5649538;
3/29/22;Pub;1800;785,92710196;
4/21/22;Pub;442;587,958318325;
8/13/22;Pub;892;1408,79152678;
8/10/22;Pub;1798;611,90361413;
12/19/22;Pub;892;454,07330202;
10/3/22;Pub;893;727,18315985;
9/25/22;Pub;893;1751,1757727;
11/2/22;Pub;894;283,15783092;
12/26/22;Pub;894;443,20356144;
6/1/22;Pub;1798;484,90475082;
3/28/22;Pub;892;1036,21856102;
12/22/22;Pub;893;281,96898035;
3/31/22;Pub;1343;1052,497243;
5/8/23;Pub;1800;653,23811072;
2/27/23;Pub;1798;750,44782865;
11/6/22;Pub;1800;1204,40776664;
3/11/23;Pub;1798;738,90247744;
5/11/23;Pub;892;232,8581036;
9/6/22;Pub;1342;1357,44350688;
3/2/22;Pub;1798;2031,98181296;
4/5/22;Pub;1343;915,67260141;
3/13/23;Pub;1799;509,12154438;
1/6/23;Pub;1344;1114,43636705;
9/10/22;Pub;894;947,96317308;
7/26/22;Pub;444;276,79973838;
5/2/22;Pub;1342;1385,72357994;
2/8/23;Pub;442;223,589783025;
1/7/23;Pub;893;1780,856718;
3/25/23;Pub;1799;1227,88137174;
7/5/22;Pub;1800;357,2395918;
10/25/22;Pub;1798;207,81632178;
11/29/22;Pub;894;160,04573052;
2/27/23;Pub;1800;357,2395918;
4/8/23;Pub;1800;1051,30508444;
10/7/22;Pub;892;617,07397454;
7/18/22;Pub;1342;1442,28372606;
10/21/22;Pub;893;816,22599575;
2/23/23;Pub;1799;321,944506005;
10/24/22;Pub;442;380,93074145;
7/30/22;Pub;893;1350,48301115;
5/7/22;Pub;1343;2357,59382432;
5/19/22;Pub;442;372,649638375;
3/15/23;Pub;1343;578,87348365;
7/17/22;Pub;893;1899,5804992;
3/21/22;Pub;1798;854,35598954;
4/26/22;Pub;894;443,20356144;
5/7/23;Pub;894;1095,69769356;
3/9/23;Pub;894;357,02509116;
3/12/22;Pub;444;2000,50720011;
9/17/22;Pub;442;844,67251365;
8/1/22;Pub;892;489,00201756;
4/11/23;Pub;443;192,5230617;
10/3/22;Pub;442;264,9952984;
3/5/22;Pub;1799;3084,67759242001;
5/8/23;Pub;443;83,42666007;
3/9/22;Pub;444;1144,94437239;
4/27/22;Pub;1800;653,23811072;
7/21/22;Pub;443;218,19280326;
6/21/22;Pub;1344;1156,09753965;
5/6/22;Pub;1798;831,26528712;
2/15/23;Pub;443;314,45433411;
8/5/22;Pub;1799;531,582788985;
7/21/22;Pub;1344;1353,9881095;
9/16/22;Pub;1344;1229,0045917;
4/10/23;Pub;442;306,400813775;
11/4/22;Pub;1344;1270,6657643;
10/26/22;Pub;1798;473,35939961;
7/15/22;Pub;442;248,43309225;
2/15/23;Pub;1800;408,2738192;
1/23/23;Pub;1344;1301,91164375;
7/30/22;Pub;1800;1592,26789488;
12/6/22;Pub;892;256,14391396;
3/19/22;Pub;443;1405,41835041;
12/14/22;Pub;1799;351,892832145;
3/21/22;Pub;1344;1833,0915944;
7/13/22;Pub;1343;442,04884206;
7/2/22;Pub;1343;1662,94564394;
2/28/23;Pub;1799;239,58660912;
5/15/22;Pub;1342;3393,60876720001;
5/10/22;Pub;1342;1102,92284934;
3/27/22;Pub;1800;1827,02534092;
5/28/22;Pub;444;1321,08966045;
4/17/22;Pub;1343;2020,79470656;
8/12/22;Pub;1344;1322,74223005;
12/8/22;Pub;443;154,01844936;
4/15/22;Pub;442;513,42839065;
6/15/22;Pub;1342;1682,66434707;
6/26/22;Pub;1342;4751,05227408001;
3/23/23;Pub;442;256,714195325;
8/15/22;Pub;894;369,3363012;
3/15/23;Pub;1798;473,35939961;
4/1/23;Pub;1342;4157,17073982001;
6/10/22;Pub;444;239,05431951;
5/15/22;Pub;892;1152,64761282;
4/23/22;Pub;442;1540,28517195;
5/29/22;Pub;1800;1908,68010476;
3/16/22;Pub;894;1181,87616384;
12/24/22;Pub;444;1006,5445032;
11/18/22;Pub;892;395,85877612;
11/14/22;Pub;1343;484,14873178;
7/19/22;Pub;1798;450,26869719;
3/30/22;Pub;892;721,86012116;
5/19/23;Pub;443;256,6974156;
5/17/22;Pub;894;184,6681506;
8/7/22;Pub;893;1335,6425385;
12/1/22;Pub;1344;916,545797200001;
9/11/22;Pub;1343;2189,19426544;
7/9/22;Pub;1798;2170,52602748;
12/12/22;Pub;892;465,7162072;
6/5/22;Pub;1343;1768,19536824;
5/30/22;Pub;444;276,79973838;
2/9/23;Pub;1800;602,20388332;
5/23/22;Pub;892;419,14458648;
5/19/22;Pub;893;519,41654275;
7/28/22;Pub;1799;479,17321824;
5/5/22;Pub;1343;578,87348365;
6/24/22;Pub;1799;396,815321355;
10/15/22;Pub;1798;2008,89111054;
1/20/23;Pub;1343;642,02331823;
3/5/23;Pub;893;1513,7282103;
11/16/22;Pub;443;205,35793248;
6/25/22;Pub;444;1031,70811578;
5/5/23;Pub;1799;366,866995215;
7/29/22;Pub;1342;1611,96416442;
10/21/22;Pub;1799;321,944506005;
3/4/23;Pub;892;1327,29119052;
12/20/22;Pub;444;264,21793209;
8/28/22;Pub;893;1454,3663197;
11/6/22;Pub;444;1295,92604787;
2/8/23;Pub;1343;368,37403505;
5/3/22;Pub;1799;262,047853725;
5/17/22;Pub;1799;449,2248921;
12/26/22;Pub;1344;1187,3434191;
10/4/22;Pub;1344;885,299917750001;
3/27/23;Pub;1343;778,84795982;
6/27/22;Pub;444;402,61780128;
8/24/22;Pub;893;697,50221455;
3/17/22;Pub;443;738,00506985;
12/27/22;Pub;1342;947,382447509999;
4/17/23;Pub;442;529,9905968;
8/21/22;Pub;893;1632,4519915;
5/27/22;Pub;894;381,64751124;
3/17/22;Pub;1800;898,20240224;
9/12/22;Pub;1800;898,20240224;
5/6/22;Pub;442;364,3685353;
10/28/22;Pub;892;407,5016813;
5/31/22;Pub;442;223,589783025;
4/30/23;Pub;443;571,15174971;
10/22/22;Pub;444;780,07198998;
4/19/23;Pub;894;283,15783092;
7/10/22;Pub;1799;980,807681085001;
3/20/22;Pub;442;1225,6032551;
4/1/22;Pub;894;627,87171204;
11/26/22;Pub;1799;1063,16557797;
5/6/22;Pub;893;742,0236325;
3/6/23;Pub;1799;419,27656596;
2/15/23;Pub;893;252,28803505;
10/20/22;Pub;1342;1060,50273975;
4/5/23;Pub;1799;299,4832614;
4/13/22;Pub;1800;408,2738192;
5/31/22;Pub;443;77,00922468;
11/10/22;Pub;1344;906,130504050001;
5/8/23;Pub;1343;663,07326309;
11/10/22;Pub;444;251,6361258;
10/19/22;Pub;444;314,54515725;
11/19/22;Pub;893;1662,1329368;
5/24/22;Pub;1343;463,09878692;
2/4/23;Pub;893;1795,69719065;
4/12/23;Pub;442;223,589783025;
2/19/23;Pub;894;1231,121004;
3/8/22;Pub;443;815,01429453;
1/10/23;Pub;893;430,37370685;
11/10/22;Pub;1798;392,54194114;
10/11/22;Pub;894;221,60178072;
4/12/23;Pub;1798;207,81632178;
7/21/22;Pub;892;291,0726295;
7/10/22;Pub;442;952,326853625;
2/1/23;Pub;442;289,838607625;
8/17/22;Pub;893;460,05465215;
6/8/22;Pub;442;182,18426765;
6/20/22;Pub;1799;621,427767405;
4/29/22;Pub;893;801,3855231;
7/30/22;Pub;443;545,48200815;
5/7/23;Pub;444;767,49018369;
3/1/22;Pub;1798;1858,80154481;
8/3/22;Pub;442;207,027576875;
3/15/22;Pub;893;1098,1949761;
9/5/22;Pub;1343;557,82353879;
7/16/22;Pub;893;1528,56868295;
7/6/22;Pub;1800;520,54911948;
1/22/23;Pub;892;1304,00538016;
6/18/22;Pub;893;1855,05908125;
3/10/23;Pub;1342;1117,06288587;
10/21/22;Pub;1798;427,17799477;
7/15/22;Pub;893;519,41654275;
6/12/22;Pub;444;654,25392708;
2/14/23;Pub;1342;947,382447509999;
8/23/22;Pub;443;237,44510943;
6/1/22;Pub;442;273,276401475;
8/25/22;Pub;894;357,02509116;
11/6/22;Pub;894;677,1165522;
9/28/22;Pub;442;215,30867995;
4/18/22;Pub;443;404,29842957;
6/5/22;Pub;444;1094,61714723;
8/31/22;Pub;444;515,85405789;
5/21/23;Pub;892;1606,72091484;
3/16/22;Pub;1798;1131,44441858;
3/2/23;Pub;1344;1104,0210739;
3/12/22;Pub;893;3532,0324907;
4/7/23;Pub;442;364,3685353;
3/26/22;Pub;1799;1467,46798086;
1/21/23;Pub;1343;1705,04553366;
9/3/22;Pub;444;717,16295853;
5/16/23;Pub;1343;315,7491729;
4/15/22;Pub;892;791,71755224;
12/28/22;Pub;1342;975,662520569999;
12/9/22;Pub;1344;1145,6822465;
3/14/22;Pub;1799;838,55313192;
9/13/22;Pub;894;283,15783092;
3/21/22;Pub;892;477,35911238;
7/15/22;Pub;1800;520,54911948;
12/30/22;Pub;1799;441,737810565;
5/11/23;Pub;443;186,10562631;
11/3/22;Pub;442;331,244123;
3/29/22;Pub;1342;1866,48482196;
3/12/23;Pub;442;1117,948915125;
3/23/23;Pub;1343;557,82353879;
4/30/23;Pub;1800;1051,30508444;
5/24/23;Pub;894;209,29057068;
2/7/23;Pub;1800;398,06697372;
6/10/22;Pub;894;418,58114136;
4/12/22;Pub;1800;428,68751016;
12/23/22;Pub;1342;1541,26398177;
12/23/22;Pub;1799;486,660299775;
8/11/22;Pub;1344;1291,4963506;
5/21/23;Pub;444;855,56282772;
5/29/22;Pub;893;1884,74002655;
2/3/23;Pub;1343;389,42397991;
12/8/22;Pub;893;400,69276155;
2/8/23;Pub;443;128,3487078;
7/22/22;Pub;442;438,898462975;
3/18/23;Pub;1799;861,014376525;
3/20/23;Pub;1342;1074,64277628;
1/11/23;Pub;1798;542,63150687;
4/4/23;Pub;1799;314,45742447;
3/15/22;Pub;894;800,2286526;
4/20/23;Pub;892;279,42972432;
12/15/22;Pub;442;289,838607625;
3/16/23;Pub;443;224,61023865;
10/22/22;Pub;443;539,06457276;
8/1/22;Pub;1343;378,89900748;
12/9/22;Pub;1798;554,17685808;
12/18/22;Pub;892;1583,43510448;
4/1/23;Pub;894;1637,39093532;
7/16/22;Pub;442;869,515822875;
6/18/22;Pub;444;993,962696909999;
10/5/22;Pub;892;291,0726295;
5/9/23;Pub;894;357,02509116;
5/28/22;Pub;1799;1295,265105555;
7/20/22;Pub;443;243,86254482;
10/19/22;Pub;1799;277,022016795;
4/24/22;Pub;1344;2937,1126683;
8/6/22;Pub;1342;3775,38975351001;
4/12/23;Pub;444;213,89070693;
11/14/22;Pub;893;489,73559745;
5/18/23;Pub;1342;1187,76306852;
5/18/23;Pub;1799;479,17321824;
11/21/22;Pub;444;377,4541887;
7/5/22;Pub;442;165,6220615;
5/16/23;Pub;894;381,64751124;
3/26/23;Pub;443;949,780437719999;
7/6/22;Pub;443;179,68819092;
4/28/23;Pub;1344;1218,58929855;
6/13/22;Pub;443;205,35793248;
11/19/22;Pub;894;1280,36584416;
10/17/22;Pub;1799;486,660299775;
12/21/22;Pub;894;12,31121004;
4/27/23;Pub;443;218,19280326;
6/18/22;Pub;1343;2073,41956871;
4/29/22;Pub;892;663,64559526;
3/8/22;Pub;1800;1194,20092116;
5/13/23;Pub;1344;3145,4185313;
4/16/22;Pub;1800;2031,16225052;
7/21/22;Pub;1800;551,16965592;
4/25/22;Pub;1343;652,54829066;
9/29/22;Pub;893;326,4903983;
9/26/22;Pub;443;198,94049709;
5/12/23;Pub;444;478,10863902;
9/18/22;Pub;1342;4524,8116896;
8/26/22;Pub;1343;599,92342851;
5/23/23;Pub;1798;658,08501897;
7/9/22;Pub;442;1142,79222435;
3/7/22;Pub;1343;1810,29525796;
6/27/22;Pub;1343;673,59823552;
8/18/22;Pub;1343;652,54829066;
2/23/23;Pub;892;232,8581036;
4/29/23;Pub;443;487,72508964;
4/12/23;Pub;892;221,21519842;
3/1/23;Pub;1798;738,90247744;
10/19/22;Pub;894;135,42331044;
12/23/22;Pub;893;786,54505045;
11/27/22;Pub;1799;1175,471800995;
12/15/22;Pub;1343;526,2486215;
3/25/22;Pub;1342;2290,68591786;
2/17/23;Pub;893;385,8522889;
3/18/23;Pub;443;693,08302212;
9/8/22;Pub;444;490,69044531;
3/8/22;Pub;892;1373,86281124;
3/10/23;Pub;894;443,20356144;
2/13/23;Pub;443;314,45433411;
11/21/22;Pub;1798;369,45123872;
12/19/22;Pub;1800;479,72173756;
12/8/22;Pub;1798;542,63150687;
12/12/22;Pub;442;322,963019925;
10/13/22;Pub;893;415,5332342;
5/25/23;Pub;1800;;
4/3/23;Pub;893;712,3426872;
1/1/23;Pub;1799;868,501458060001;
5/14/23;Pub;442;1283,570976625;
1/26/23;Pub;894;246,2242008;
5/16/23;Pub;1798;646,53966776;
4/29/23;Pub;1800;1337,09675788;
11/10/22;Pub;1342;1187,76306852;
3/15/22;Pub;1342;2219,98573521;
12/22/22;Pub;1342;1357,44350688;
12/15/22;Pub;443;288,78459255;
9/11/22;Pub;1342;3393,60876720001;
5/9/23;Pub;1343;536,77359393;
7/16/22;Pub;1799;1377,62300244;
11/1/22;Pub;442;372,649638375;
2/9/23;Pub;1344;1041,529315;
3/20/23;Pub;1798;588,81291171;
9/25/22;Pub;1344;3395,3855669;
2/7/23;Pub;894;147,73452048;
10/26/22;Pub;443;147,60101397;
4/2/23;Pub;442;1076,54339975;
2/21/23;Pub;894;320,09146104;
12/13/22;Pub;1798;438,72334598;
1/13/23;Pub;1344;1728,9386629;
3/22/23;Pub;1344;1208,1740054;
4/27/22;Pub;1799;471,686136705;
12/16/22;Pub;1800;377,65328276;
9/18/22;Pub;1343;1547,17094721;
3/14/23;Pub;1800;540,96281044;
6/25/22;Pub;1342;3464,30894985;
5/23/22;Pub;1800;520,54911948;
4/21/23;Pub;1800;469,51489208;
3/17/23;Pub;442;455,460669125;
2/16/23;Pub;893;445,2141795;
5/27/22;Pub;1343;778,84795982;
11/3/22;Pub;1800;449,10120112;
3/6/22;Pub;893;3279,74445565;
10/14/22;Pub;892;197,92938806;
5/15/23;Pub;444;465,52683273;
5/12/23;Pub;1799;404,30240289;
4/16/23;Pub;1800;1449,37205816;
9/1/22;Pub;1344;1291,4963506;
1/5/23;Pub;892;384,21587094;
4/9/22;Pub;1343;2010,26973413;
11/11/22;Pub;894;443,20356144;
2/14/23;Pub;1343;399,94895234;
3/29/23;Pub;444;352,29057612;
8/21/22;Pub;444;704,58115224;
7/15/22;Pub;892;221,21519842;
2/15/23;Pub;1799;336,918669075;
3/4/22;Pub;1798;2147,43532506;
8/1/22;Pub;442;207,027576875;
12/2/22;Pub;1799;314,45742447;
5/27/22;Pub;1798;900,53739438;
4/22/22;Pub;1800;653,23811072;
12/16/22;Pub;893;934,94977695;
2/6/23;Pub;442;496,8661845;
11/1/22;Pub;1344;989,452849250001;
7/28/22;Pub;894;381,64751124;
1/30/23;Pub;444;541,01767047;
4/19/22;Pub;894;393,95872128;
10/17/22;Pub;894;418,58114136;
9/1/22;Pub;1342;1131,2029224;
8/21/22;Pub;1799;1167,98471946;
3/10/23;Pub;892;454,07330202;
3/16/23;Pub;444;503,2722516;
12/3/22;Pub;892;1408,79152678;
11/12/22;Pub;443;834,266600699999;
9/17/22;Pub;1344;3541,199671;
10/2/22;Pub;892;908,14660404;
6/12/22;Pub;894;911,02954296;
2/23/23;Pub;1342;1682,66434707;
2/17/23;Pub;1343;399,94895234;
1/19/23;Pub;1798;484,90475082;
3/4/22;Pub;1343;2241,81912759;
1/14/23;Pub;892;1222,5050439;
2/16/23;Pub;894;196,97936064;
4/26/23;Pub;444;239,05431951;
7/23/22;Pub;1344;2999,6044272;
3/23/22;Pub;893;1409,84490175;
1/5/23;Pub;1343;452,57381449;
4/13/23;Pub;444;327,12696354;
5/9/22;Pub;1799;561,531115125;
8/8/22;Pub;1799;374,35407675;
5/14/22;Pub;892;1222,5050439;
7/17/22;Pub;444;754,9083774;
7/6/22;Pub;1344;1176,92812595;
5/10/23;Pub;892;174,6435777;
6/19/22;Pub;892;1478,64895786;
4/5/22;Pub;1342;1583,68409136;
4/6/22;Pub;1342;1725,08445666;
2/18/23;Pub;892;943,07531958;
8/21/22;Pub;894;1169,5649538;
1/19/23;Pub;893;118,7237812;
8/17/22;Pub;1799;456,711973635;
8/28/22;Pub;1799;1325,213431695;
12/11/22;Pub;1342;3068,38792701001;
11/17/22;Pub;442;422,336256825;
11/9/22;Pub;442;356,087432225;
3/13/22;Pub;442;1308,41428585;
12/17/22;Pub;1800;1347,30360336;
1/6/23;Pub;444;478,10863902;
12/7/22;Pub;442;264,9952984;
9/24/22;Pub;1798;1697,16662787;
3/19/22;Pub;893;2730,6469676;
7/5/22;Pub;1344;1010,28343555;
11/18/22;Pub;1799;426,763647495;
4/8/22;Pub;442;389,211844525;
3/24/22;Pub;893;1157,5568667;
12/23/22;Pub;1344;1156,09753965;
2/23/23;Pub;1344;1416,4798684;
12/16/22;Pub;894;369,3363012;
5/4/23;Pub;1344;1562,2939725;
4/2/23;Pub;444;465,52683273;
5/21/23;Pub;1798;1627,89452061;
8/23/22;Pub;1342;904,962337919999;
5/30/22;Pub;892;500,64492274;
4/29/23;Pub;892;1175,93342318;
4/16/23;Pub;1798;1477,80495488;
6/22/22;Pub;893;905,26883165;
1/16/23;Pub;1800;387,86012824;
4/15/22;Pub;894;357,02509116;
9/28/22;Pub;443;288,78459255;
5/1/22;Pub;1343;1978,69481684;
4/25/22;Pub;1344;1281,08105745;
5/3/22;Pub;1343;684,12320795;
6/1/22;Pub;1342;1102,92284934;
6/23/22;Pub;443;423,55073574;
1/7/23;Pub;444;1069,45353465;
4/22/22;Pub;443;442,80304191;
7/13/22;Pub;894;233,91299076;
9/17/22;Pub;443;725,17019907;
5/17/23;Pub;443;115,51383702;
11/5/22;Pub;894;1218,80979396;
8/20/22;Pub;443;975,45017928;
6/26/22;Pub;444;1031,70811578;
11/28/22;Pub;1344;1124,8516602;
1/7/23;Pub;892;1688,2212511;
9/8/22;Pub;894;73,86726024;
12/19/22;Pub;442;380,93074145;
3/15/23;Pub;1344;968,622262950001;
3/21/23;Pub;1342;1003,94259363;
11/13/22;Pub;893;2389,31609665;
9/11/22;Pub;893;1528,56868295;
10/16/22;Pub;443;1116,63375786;
1/1/23;Pub;443;519,81226659;
6/22/22;Pub;1800;540,96281044;
10/13/22;Pub;442;405,774050675;
3/7/23;Pub;894;246,2242008;
4/15/23;Pub;1799;1078,13974104;
5/11/22;Pub;894;295,46904096;
1/26/23;Pub;1800;316,41220988;
8/15/22;Pub;1800;551,16965592;
5/13/22;Pub;442;513,42839065;
10/22/22;Pub;1342;3987,49030146001;
3/3/23;Pub;444;364,87238241;
6/21/22;Pub;1800;408,2738192;
7/3/22;Pub;892;1292,36247498;
7/12/22;Pub;892;407,5016813;
11/5/22;Pub;1799;1272,80386095;
1/11/23;Pub;1800;469,51489208;
4/29/23;Pub;1798;1246,89793068;
4/6/23;Pub;894;369,3363012;
7/17/22;Pub;443;956,19787311;
3/27/23;Pub;892;454,07330202;
5/9/23;Pub;893;682,6617419;
1/11/23;Pub;443;198,94049709;
8/2/22;Pub;1798;634,99431655;
6/3/22;Pub;1798;681,17572139;
3/22/22;Pub;1343;1231,42177431;
1/11/23;Pub;444;427,78141386;
3/18/22;Pub;444;603,92670192;
4/4/22;Pub;1799;501,634462845;
4/8/23;Pub;1342;3817,80986310001;
