Table 1
dt;employerid;hires;dropouts;total_employees
2023-05-20;1282;0;0;3
2023-05-20;1283;0;0;6
2023-05-20;1284;0;0;4
2023-05-20;1285;0;0;6
2023-05-20;1286;0;0;5
2023-05-20;1287;0;0;4
2023-05-20;1288;0;0;3
2023-05-20;1289;0;0;4
2023-05-20;1290;0;0;2
2023-05-20;1291;0;0;5
2023-05-20;1292;0;0;2
2023-05-20;1293;0;0;1
2023-05-20;1294;0;0;1
2023-05-20;1295;0;0;5
2023-05-20;1296;0;0;3
2023-05-20;1297;0;0;5
2023-05-20;1298;0;0;6
2023-05-20;1299;0;0;6
2023-05-20;1300;0;0;4
2023-05-20;1301;0;0;1
2023-05-20;1302;0;0;3
2023-05-20;1303;0;0;3
2023-05-20;1304;0;0;4
2023-05-20;1305;0;0;2
2023-05-20;1306;0;0;6
2023-05-20;1307;0;0;5
2023-05-20;1308;0;0;2
2023-05-20;1309;0;0;3
2023-05-20;1310;0;0;2
2023-05-20;1311;0;0;5
2023-05-20;1312;0;0;1
2023-05-20;1313;0;0;4
2023-05-20;1314;0;0;3
2023-05-20;1315;0;0;7
2023-05-20;1316;0;0;3
2023-05-20;1317;0;0;3
2023-05-20;1318;0;0;3
2023-05-20;1319;0;0;3
2023-05-20;1320;0;0;2
2023-05-20;1321;0;0;1
2023-05-20;1322;0;0;2
2023-05-20;1323;0;0;6
2023-05-20;1324;0;0;2
2023-05-20;1325;0;0;3
2023-05-20;1326;0;0;5
2023-05-20;1327;0;0;1
2023-05-20;1328;0;0;2
2023-05-20;1329;0;0;2
2023-05-20;1330;0;0;6
2023-05-20;1331;0;0;2
2023-05-20;1332;0;0;1
2023-05-20;1333;0;0;1
2023-05-20;1334;0;0;3
2023-05-20;1335;0;0;1
2023-05-20;1336;0;0;2
2023-05-20;1337;0;0;4
2023-05-20;1338;0;0;2
2023-05-20;1339;0;0;4
2023-05-20;1340;0;0;3
2023-05-20;1341;0;0;5
2023-05-20;1734;0;0;3
2023-05-20;1735;0;0;4
2023-05-20;1736;0;0;5
2023-05-20;1737;0;0;6
2023-05-20;1738;0;0;2
2023-05-20;1739;0;0;2
2023-05-20;1740;0;0;3
2023-05-20;1741;0;0;1
2023-05-20;1742;0;0;5
2023-05-20;1743;0;0;3
2023-05-20;1744;0;0;3
2023-05-20;1745;0;0;6
2023-05-20;1746;0;0;4
2023-05-20;1747;0;0;1
2023-05-20;1748;0;0;5
2023-05-20;1749;0;0;6
2023-05-20;1750;0;0;2
2023-05-20;1751;0;0;1
2023-05-20;1752;0;0;2
2023-05-20;1753;0;0;1
2023-05-20;1754;0;0;1
2023-05-20;1755;0;0;3
2023-05-20;1756;0;0;2
2023-05-20;1757;0;0;4
2023-05-20;1758;0;0;1
2023-05-20;1759;0;0;7
2023-05-20;1760;0;0;3
2023-05-20;1761;0;0;3
2023-05-20;1762;0;0;1
2023-05-20;1763;0;0;6
2023-05-20;1764;0;0;3
2023-05-20;1765;0;0;5
2023-05-20;1766;0;0;4
2023-05-20;1767;0;0;4
2023-05-20;1768;0;0;5
2023-05-20;1769;0;0;1
2023-05-20;1770;0;0;5
2023-05-20;1771;0;0;8
2023-05-20;1772;0;0;2
2023-05-20;1773;0;0;2
2023-05-20;1774;0;0;2
2023-05-20;1775;0;0;1
2023-05-20;1776;0;0;3
2023-05-20;1777;0;0;1
2023-05-20;1778;0;0;2
2023-05-20;1779;0;0;4
2023-05-20;1780;0;0;2
2023-05-20;1781;0;0;3
2023-05-20;1782;0;0;5
2023-05-20;1783;0;0;1
2023-05-20;1784;0;0;3
2023-05-20;1785;0;0;3
2023-05-20;1786;0;0;8
2023-05-20;1787;0;0;2
2023-05-20;1788;0;0;5
2023-05-20;1789;0;0;6
2023-05-20;1790;0;0;6
2023-05-20;1791;0;0;1
2023-05-20;1792;0;0;6
2023-05-20;1793;0;0;6
2023-05-20;1794;0;0;2
2023-05-20;1795;0;0;6
2023-05-20;1796;0;0;5
2023-05-20;1797;0;0;1
2023-05-19;379;0;0;1
2023-05-19;381;0;0;4
2023-05-19;382;0;0;4
2023-05-19;383;0;0;6
2023-05-19;384;0;0;3
2023-05-19;385;0;0;5
2023-05-19;386;0;0;5
2023-05-19;387;0;0;2
2023-05-19;388;0;0;5
2023-05-19;389;0;0;3
2023-05-19;390;0;0;3
2023-05-19;391;0;0;2
2023-05-19;392;0;0;3
2023-05-19;393;0;0;4
2023-05-19;394;0;0;1
2023-05-19;395;0;0;3
2023-05-19;396;0;0;7
2023-05-19;397;0;0;6
2023-05-19;398;0;0;4
2023-05-19;399;0;0;5
2023-05-19;400;0;0;2
2023-05-19;401;0;0;5
2023-05-19;402;0;0;4
2023-05-19;403;0;0;6
2023-05-19;404;0;0;1
2023-05-19;405;0;0;5
2023-05-19;406;0;0;6
2023-05-19;407;0;0;4
2023-05-19;408;0;0;6
2023-05-19;409;0;0;1
2023-05-19;410;0;0;4
2023-05-19;411;0;0;2
2023-05-19;412;0;0;2
2023-05-19;413;0;0;5
2023-05-19;414;0;0;5
2023-05-19;415;0;0;5
2023-05-19;416;0;0;4
2023-05-19;417;0;0;3
2023-05-19;418;0;0;4
2023-05-19;419;0;0;2
2023-05-19;421;0;0;5
2023-05-19;422;0;0;4
2023-05-19;423;0;0;5
2023-05-19;424;0;0;5
2023-05-19;425;0;0;4
2023-05-19;426;0;0;4
2023-05-19;427;0;0;5
2023-05-19;428;0;0;3
2023-05-19;429;0;0;5
2023-05-19;430;0;0;1
2023-05-19;431;0;0;1
2023-05-19;432;0;0;4
2023-05-19;433;0;0;1
2023-05-19;434;0;0;5
2023-05-19;435;0;0;5
2023-05-19;436;0;0;3
2023-05-19;437;0;0;7
2023-05-19;438;0;0;5
2023-05-19;439;0;0;6
2023-05-19;440;0;0;5
2023-05-19;441;0;0;5
2023-05-19;829;0;0;1
2023-05-19;830;0;0;4
2023-05-19;831;0;0;3
2023-05-19;833;0;0;3
2023-05-19;834;0;0;2
2023-05-19;836;0;0;2
2023-05-19;837;0;0;6
2023-05-19;838;0;0;4
2023-05-19;839;0;0;1
2023-05-19;840;0;0;3
2023-05-19;841;0;0;5
2023-05-19;842;0;0;3
2023-05-19;843;0;0;4
2023-05-19;844;0;0;1
2023-05-19;845;0;0;4
2023-05-19;846;0;0;1
2023-05-19;847;0;0;5
2023-05-19;848;0;0;1
2023-05-19;849;0;0;2
2023-05-19;850;0;0;4
2023-05-19;851;0;0;3
2023-05-19;852;0;0;4
2023-05-19;853;0;0;4
2023-05-19;854;0;0;3
2023-05-19;855;0;0;5
2023-05-19;856;0;0;3
2023-05-19;857;0;0;5
2023-05-19;859;0;0;5
2023-05-19;860;0;0;1
2023-05-19;861;0;0;2
2023-05-19;862;0;0;3
2023-05-19;863;0;0;4
2023-05-19;864;0;0;3
2023-05-19;865;0;0;5
2023-05-19;866;0;0;2
2023-05-19;867;0;0;5
2023-05-19;868;0;0;6
2023-05-19;869;0;0;4
2023-05-19;870;0;0;4
2023-05-19;871;0;0;5
2023-05-19;872;0;0;3
2023-05-19;873;0;0;6
2023-05-19;874;0;0;6
2023-05-19;875;0;0;1
2023-05-19;876;0;0;7
2023-05-19;877;0;0;8
2023-05-19;878;0;0;6
2023-05-19;879;0;0;2
2023-05-19;880;0;0;3
2023-05-19;881;0;0;2
2023-05-19;882;0;0;2
2023-05-19;883;0;0;8
2023-05-19;884;0;0;1
2023-05-19;885;0;0;5
2023-05-19;886;0;0;3
2023-05-19;887;0;0;5
2023-05-19;888;0;0;3
2023-05-19;889;0;0;2
2023-05-19;890;0;0;1
2023-05-19;891;0;0;5
2023-05-19;1279;0;0;3
2023-05-19;1280;0;0;2
2023-05-19;1281;0;0;4
2023-05-19;1282;0;0;3
2023-05-19;1283;0;0;6
2023-05-19;1284;0;0;4
2023-05-19;1285;0;0;6
2023-05-19;1286;0;0;5
2023-05-19;1287;0;0;4
2023-05-19;1288;0;0;3
2023-05-19;1289;0;0;4
2023-05-19;1290;0;0;2
2023-05-19;1291;0;0;5
2023-05-19;1292;0;0;2
2023-05-19;1293;0;0;1
2023-05-19;1294;0;0;1
2023-05-19;1295;0;0;5
2023-05-19;1296;0;0;3
2023-05-19;1297;0;0;5
2023-05-19;1298;0;0;6
2023-05-19;1299;0;0;6
2023-05-19;1300;0;0;4
2023-05-19;1301;0;0;1
2023-05-19;1302;0;0;3
2023-05-19;1303;0;0;3
2023-05-19;1304;0;0;4
2023-05-19;1305;0;0;2
2023-05-19;1306;0;0;6
2023-05-19;1307;0;0;5
2023-05-19;1308;0;0;2
2023-05-19;1309;0;0;3
2023-05-19;1310;0;0;2
2023-05-19;1311;0;0;5
2023-05-19;1312;0;0;1
2023-05-19;1313;0;0;4
2023-05-19;1314;0;0;3
2023-05-19;1315;0;0;7
2023-05-19;1316;0;0;3
2023-05-19;1317;0;0;3
2023-05-19;1318;0;0;3
2023-05-19;1319;0;0;3
2023-05-19;1320;0;0;2
2023-05-19;1321;0;0;1
2023-05-19;1322;0;0;2
2023-05-19;1323;0;0;6
2023-05-19;1324;0;0;2
2023-05-19;1325;0;0;3
2023-05-19;1326;0;0;5
2023-05-19;1327;0;0;1
2023-05-19;1328;0;0;2
2023-05-19;1329;0;0;2
2023-05-19;1330;0;0;6
2023-05-19;1331;0;0;2
2023-05-19;1332;0;0;1
2023-05-19;1333;0;0;1
2023-05-19;1334;0;0;3
2023-05-19;1335;0;0;1
2023-05-19;1336;0;0;2
2023-05-19;1337;0;0;4
2023-05-19;1338;0;0;2
2023-05-19;1339;0;0;4
2023-05-19;1340;0;0;3
2023-05-19;1341;0;0;5
2023-05-19;1734;0;0;3
2023-05-19;1735;0;0;4
2023-05-19;1736;0;0;5
2023-05-19;1737;0;0;6
2023-05-19;1738;0;0;2
2023-05-19;1739;0;0;2
2023-05-19;1740;0;0;3
2023-05-19;1741;0;0;1
2023-05-19;1742;0;0;5
2023-05-19;1743;0;0;3
2023-05-19;1744;0;0;3
2023-05-19;1745;0;0;6
2023-05-19;1746;0;0;4
2023-05-19;1747;0;0;1
2023-05-19;1748;0;0;5
2023-05-19;1749;0;0;6
2023-05-19;1750;0;0;2
2023-05-19;1751;0;0;1
2023-05-19;1752;0;0;2
2023-05-19;1753;0;0;1
2023-05-19;1754;0;0;1
2023-05-19;1755;0;0;3
2023-05-19;1756;0;0;2
2023-05-19;1757;0;0;4
2023-05-19;1758;0;0;1
2023-05-19;1759;0;0;7
2023-05-19;1760;0;0;3
2023-05-19;1761;0;0;3
2023-05-19;1762;0;0;1
2023-05-19;1763;0;0;6
2023-05-19;1764;0;0;3
2023-05-19;1765;0;0;5
2023-05-19;1766;0;0;4
2023-05-19;1767;0;0;4
2023-05-19;1768;0;0;5
2023-05-19;1769;0;0;1
2023-05-19;1770;0;0;5
2023-05-19;1771;0;0;8
2023-05-19;1772;0;0;2
2023-05-19;1773;0;0;2
2023-05-19;1774;0;0;2
2023-05-19;1775;0;0;1
2023-05-19;1776;0;0;3
2023-05-19;1777;0;0;1
2023-05-19;1778;0;0;2
2023-05-19;1779;0;0;4
2023-05-19;1780;0;0;2
2023-05-19;1781;0;0;3
2023-05-19;1782;0;0;5
2023-05-19;1783;0;0;1
2023-05-19;1784;0;0;3
2023-05-19;1785;0;0;3
2023-05-19;1786;0;0;8
2023-05-19;1787;0;0;2
2023-05-19;1788;0;0;5
2023-05-19;1789;0;0;6
2023-05-19;1790;0;0;6
2023-05-19;1791;0;0;1
2023-05-19;1792;0;0;6
2023-05-19;1793;0;0;6
2023-05-19;1794;0;0;2
2023-05-19;1795;0;0;6
2023-05-19;1796;0;0;5
2023-05-19;1797;0;0;1
2023-05-18;379;0;0;1
2023-05-18;381;0;0;4
2023-05-18;382;0;0;4
2023-05-18;383;0;0;6
2023-05-18;384;0;0;3
2023-05-18;385;0;0;5
2023-05-18;386;0;0;5
2023-05-18;387;0;0;2
2023-05-18;388;0;0;5
2023-05-18;389;0;0;3
2023-05-18;390;0;0;3
2023-05-18;391;0;0;2
2023-05-18;392;0;0;3
2023-05-18;393;0;0;4
2023-05-18;394;0;0;1
2023-05-18;395;0;0;3
2023-05-18;396;0;0;7
2023-05-18;397;0;0;6
2023-05-18;398;0;0;4
2023-05-18;399;0;0;5
2023-05-18;400;0;0;2
2023-05-18;401;0;0;5
2023-05-18;402;0;0;4
2023-05-18;403;0;0;6
2023-05-18;404;0;0;1
2023-05-18;405;0;0;5
2023-05-18;406;0;0;6
2023-05-18;407;0;0;4
2023-05-18;408;0;0;6
2023-05-18;409;0;0;1
2023-05-18;410;0;0;4
2023-05-18;411;0;0;2
2023-05-18;412;0;0;2
2023-05-18;413;0;0;5
2023-05-18;414;0;0;5
2023-05-18;415;0;0;5
2023-05-18;416;0;0;4
2023-05-18;417;0;0;3
2023-05-18;418;0;0;4
2023-05-18;419;0;0;2
2023-05-18;421;0;0;5
2023-05-18;422;0;0;4
2023-05-18;423;0;0;5
2023-05-18;424;0;0;5
2023-05-18;425;0;0;4
2023-05-18;426;0;0;4
2023-05-18;427;0;0;5
2023-05-18;428;0;0;3
2023-05-18;429;0;0;5
2023-05-18;430;0;0;1
2023-05-18;431;0;0;1
2023-05-18;432;0;0;4
2023-05-18;433;0;0;1
2023-05-18;434;0;0;5
2023-05-18;435;0;0;5
2023-05-18;436;0;0;3
2023-05-18;437;0;0;7
2023-05-18;438;0;0;5
2023-05-18;439;0;0;6
2023-05-18;440;0;0;5
2023-05-18;441;0;0;5
2023-05-18;829;0;0;1
2023-05-18;830;0;0;4
2023-05-18;831;0;0;3
2023-05-18;833;0;0;3
2023-05-18;834;0;0;2
2023-05-18;836;0;0;2
2023-05-18;837;0;0;6
2023-05-18;838;0;0;4
2023-05-18;839;0;0;1
2023-05-18;840;0;0;3
2023-05-18;841;0;0;5
2023-05-18;842;0;0;3
2023-05-18;843;0;0;4
2023-05-18;844;0;0;1
2023-05-18;845;0;0;4
2023-05-18;846;0;0;1
2023-05-18;847;0;0;5
2023-05-18;848;0;0;1
2023-05-18;849;0;0;2
2023-05-18;850;0;0;4
2023-05-18;851;0;0;3
2023-05-18;852;0;0;4
2023-05-18;853;0;0;4
2023-05-18;854;0;0;3
2023-05-18;855;0;0;5
2023-05-18;856;0;0;3
2023-05-18;857;0;0;5
2023-05-18;859;0;0;5
2023-05-18;860;0;0;1
2023-05-18;861;0;0;2
2023-05-18;862;0;0;3
2023-05-18;863;0;0;4
2023-05-18;864;0;0;3
2023-05-18;865;0;0;5
2023-05-18;866;0;0;2
2023-05-18;867;0;0;5
2023-05-18;868;0;0;6
2023-05-18;869;0;0;4
2023-05-18;870;0;0;4
2023-05-18;871;0;0;5
2023-05-18;872;0;0;3
2023-05-18;873;0;0;6
2023-05-18;874;0;0;6
2023-05-18;875;0;0;1
2023-05-18;876;0;0;7
2023-05-18;877;0;0;8
2023-05-18;878;0;0;6
2023-05-18;879;0;0;2
2023-05-18;880;0;0;3
2023-05-18;881;0;0;2
2023-05-18;882;0;0;2
2023-05-18;883;0;0;8
2023-05-18;884;0;0;1
2023-05-18;885;0;0;5
2023-05-18;886;0;0;3
2023-05-18;887;0;0;5
2023-05-18;888;0;0;3
2023-05-18;889;0;0;2
2023-05-18;890;0;0;1
2023-05-18;891;0;0;5
2023-05-18;1279;0;0;3
2023-05-18;1280;0;0;2
2023-05-18;1281;0;0;4
2023-05-18;1282;0;0;3
2023-05-18;1283;0;0;6
2023-05-18;1284;0;0;4
2023-05-18;1285;0;0;6
2023-05-18;1286;0;0;5
2023-05-18;1287;0;0;4
2023-05-18;1288;0;0;3
2023-05-18;1289;0;0;4
2023-05-18;1290;0;0;2
2023-05-18;1291;0;0;5
2023-05-18;1292;0;0;2
2023-05-18;1293;0;0;1
2023-05-18;1294;0;0;1
2023-05-18;1295;0;0;5
2023-05-18;1296;0;0;3
2023-05-18;1297;0;0;5
2023-05-18;1298;0;0;6
2023-05-18;1299;0;0;6
2023-05-18;1300;0;0;4
2023-05-18;1301;0;0;1
2023-05-18;1302;0;0;3
2023-05-18;1303;0;0;3
2023-05-18;1304;0;0;4
2023-05-18;1305;0;0;2
2023-05-18;1306;0;0;6
2023-05-18;1307;0;0;5
2023-05-18;1308;0;0;2
2023-05-18;1309;0;0;3
2023-05-18;1310;0;0;2
2023-05-18;1311;0;0;5
2023-05-18;1312;0;0;1
2023-05-18;1313;0;0;4
2023-05-18;1314;0;0;3
2023-05-18;1315;0;0;7
2023-05-18;1316;0;0;3
2023-05-18;1317;0;0;3
2023-05-18;1318;0;0;3
2023-05-18;1319;0;0;3
2023-05-18;1320;0;0;2
2023-05-18;1321;0;0;1
2023-05-18;1322;0;0;2
2023-05-18;1323;0;0;6
2023-05-18;1324;0;0;2
2023-05-18;1325;0;0;3
2023-05-18;1326;0;0;5
2023-05-18;1327;0;0;1
2023-05-18;1328;0;0;2
2023-05-18;1329;0;0;2
2023-05-18;1330;0;0;6
2023-05-18;1331;0;0;2
2023-05-18;1332;0;0;1
2023-05-18;1333;0;0;1
2023-05-18;1334;0;0;3
2023-05-18;1335;0;0;1
2023-05-18;1336;0;0;2
2023-05-18;1337;0;0;4
2023-05-18;1338;0;0;2
2023-05-18;1339;0;0;4
2023-05-18;1340;0;0;3
2023-05-18;1341;0;0;5
2023-05-18;1734;0;0;3
2023-05-18;1735;0;0;4
2023-05-18;1736;0;0;5
2023-05-18;1737;0;0;6
2023-05-18;1738;0;0;2
2023-05-18;1739;0;0;2
2023-05-18;1740;0;0;3
2023-05-18;1741;0;0;1
2023-05-18;1742;0;0;5
2023-05-18;1743;0;0;3
2023-05-18;1744;0;0;3
2023-05-18;1745;0;0;6
2023-05-18;1746;0;0;4
2023-05-18;1747;0;0;1
2023-05-18;1748;0;0;5
2023-05-18;1749;0;0;6
2023-05-18;1750;0;0;2
2023-05-18;1751;0;0;1
2023-05-18;1752;0;0;2
2023-05-18;1753;0;0;1
2023-05-18;1754;0;0;1
2023-05-18;1755;0;0;3
2023-05-18;1756;0;0;2
2023-05-18;1757;0;0;4
2023-05-18;1758;0;0;1
2023-05-18;1759;0;0;7
2023-05-18;1760;0;0;3
2023-05-18;1761;0;0;3
2023-05-18;1762;0;0;1
2023-05-18;1763;0;0;6
2023-05-18;1764;0;0;3
2023-05-18;1765;0;0;5
2023-05-18;1766;0;0;4
2023-05-18;1767;0;0;4
2023-05-18;1768;0;0;5
2023-05-18;1769;0;0;1
2023-05-18;1770;0;0;5
2023-05-18;1771;0;0;8
2023-05-18;1772;0;0;2
2023-05-18;1773;0;0;2
2023-05-18;1774;0;0;2
2023-05-18;1775;0;0;1
2023-05-18;1776;0;0;3
2023-05-18;1777;0;0;1
2023-05-18;1778;0;0;2
2023-05-18;1779;0;0;4
2023-05-18;1780;0;0;2
2023-05-18;1781;0;0;3
2023-05-18;1782;0;0;5
2023-05-18;1783;0;0;1
2023-05-18;1784;0;0;3
2023-05-18;1785;0;0;3
2023-05-18;1786;0;0;8
2023-05-18;1787;0;0;2
2023-05-18;1788;0;0;5
2023-05-18;1789;0;0;6
2023-05-18;1790;0;0;6
2023-05-18;1791;0;0;1
2023-05-18;1792;0;0;6
2023-05-18;1793;0;0;6
2023-05-18;1794;0;0;2
2023-05-18;1795;0;0;6
2023-05-18;1796;0;0;5
2023-05-18;1797;0;0;1
2023-05-17;379;0;0;1
2023-05-17;381;0;0;4
2023-05-17;382;0;0;4
2023-05-17;383;0;0;6
2023-05-17;384;0;0;3
2023-05-17;385;0;0;5
2023-05-17;386;0;0;5
2023-05-17;387;0;0;2
2023-05-17;388;0;0;5
2023-05-17;389;0;0;3
2023-05-17;390;0;0;3
2023-05-17;391;0;0;2
2023-05-17;392;0;0;3
2023-05-17;393;0;0;4
2023-05-17;394;0;0;1
2023-05-17;395;0;0;3
2023-05-17;396;0;0;7
2023-05-17;397;0;0;6
2023-05-17;398;0;0;4
2023-05-17;399;0;0;5
2023-05-17;400;0;0;2
2023-05-17;401;0;0;5
2023-05-17;402;0;0;4
2023-05-17;403;0;0;6
2023-05-17;404;0;0;1
2023-05-17;405;0;0;5
2023-05-17;406;0;0;6
2023-05-17;407;0;0;4
2023-05-17;408;0;0;6
2023-05-17;409;0;0;1
2023-05-17;410;0;0;4
2023-05-17;411;0;0;2
2023-05-17;412;0;0;2
2023-05-17;413;0;0;5
2023-05-17;414;0;0;5
2023-05-17;415;0;0;5
2023-05-17;416;0;0;4
2023-05-17;417;0;0;3
2023-05-17;418;0;0;4
2023-05-17;419;0;0;2
2023-05-17;421;0;0;5
2023-05-17;422;0;0;4
2023-05-17;423;0;0;5
2023-05-17;424;0;0;5
2023-05-17;425;0;0;4
2023-05-17;426;0;0;4
2023-05-17;427;0;0;5
2023-05-17;428;0;0;3
2023-05-17;429;0;0;5
2023-05-17;430;0;0;1
2023-05-17;431;0;0;1
2023-05-17;432;0;0;4
2023-05-17;433;0;0;1
2023-05-17;434;0;0;5
2023-05-17;435;0;0;5
2023-05-17;436;0;0;3
2023-05-17;437;0;0;7
2023-05-17;438;0;0;5
2023-05-17;439;0;0;6
2023-05-17;440;0;0;5
2023-05-17;441;0;0;5
2023-05-17;829;0;0;1
2023-05-17;830;0;0;4
2023-05-17;831;0;0;3
2023-05-17;833;0;0;3
2023-05-17;834;0;0;2
2023-05-17;836;0;0;2
2023-05-17;837;0;0;6
2023-05-17;838;0;0;4
2023-05-17;839;0;0;1
2023-05-17;840;0;0;3
2023-05-17;841;0;0;5
2023-05-17;842;0;0;3
2023-05-17;843;0;0;4
2023-05-17;844;0;0;1
2023-05-17;845;0;0;4
2023-05-17;846;0;0;1
2023-05-17;847;0;0;5
2023-05-17;848;0;0;1
2023-05-17;849;0;0;2
2023-05-17;850;0;0;4
2023-05-17;851;0;0;3
2023-05-17;852;0;0;4
2023-05-17;853;0;0;4
2023-05-17;854;0;0;3
2023-05-17;855;0;0;5
2023-05-17;856;0;0;3
2023-05-17;857;0;0;5
2023-05-17;859;0;0;5
2023-05-17;860;0;0;1
2023-05-17;861;0;0;2
2023-05-17;862;0;0;3
2023-05-17;863;0;0;4
2023-05-17;864;0;0;3
2023-05-17;865;0;0;5
2023-05-17;866;0;0;2
2023-05-17;867;0;0;5
2023-05-17;868;0;0;6
2023-05-17;869;0;0;4
2023-05-17;870;0;0;4
2023-05-17;871;0;0;5
2023-05-17;872;0;0;3
2023-05-17;873;0;0;6
2023-05-17;874;0;0;6
2023-05-17;875;0;0;1
2023-05-17;876;0;0;7
2023-05-17;877;0;0;8
2023-05-17;878;0;0;6
2023-05-17;879;0;0;2
2023-05-17;880;0;0;3
2023-05-17;881;0;0;2
2023-05-17;882;0;0;2
2023-05-17;883;0;0;8
2023-05-17;884;0;0;1
2023-05-17;885;0;0;5
2023-05-17;886;0;0;3
2023-05-17;887;0;0;5
2023-05-17;888;0;0;3
2023-05-17;889;0;0;2
2023-05-17;890;0;0;1
2023-05-17;891;0;0;5
2023-05-17;1279;0;0;3
2023-05-17;1280;0;0;2
2023-05-17;1281;0;0;4
2023-05-17;1282;0;0;3
2023-05-17;1283;0;0;6
2023-05-17;1284;0;0;4
2023-05-17;1285;0;0;6
2023-05-17;1286;0;0;5
2023-05-17;1287;0;0;4
2023-05-17;1288;0;0;3
2023-05-17;1289;0;0;4
2023-05-17;1290;0;0;2
2023-05-17;1291;0;0;5
2023-05-17;1292;0;0;2
2023-05-17;1293;0;0;1
2023-05-17;1294;0;0;1
2023-05-17;1295;0;0;5
2023-05-17;1296;0;0;3
2023-05-17;1297;0;0;5
2023-05-17;1298;0;0;6
2023-05-17;1299;0;0;6
2023-05-17;1300;0;0;4
2023-05-17;1301;0;0;1
2023-05-17;1302;0;0;3
2023-05-17;1303;0;0;3
2023-05-17;1304;0;0;4
2023-05-17;1305;0;0;2
2023-05-17;1306;0;0;6
2023-05-17;1307;0;0;5
2023-05-17;1308;0;0;2
2023-05-17;1309;0;0;3
2023-05-17;1310;0;0;2
2023-05-17;1311;0;0;5
2023-05-17;1312;0;0;1
2023-05-17;1313;0;0;4
2023-05-17;1314;0;0;3
2023-05-17;1315;0;0;7
