Table 1
participantid;jobid;datefrom;dateto;
73;50;2022-03-01;2023-05-21;
74;258;2022-03-01;2023-05-21;
75;125;2022-03-01;2023-05-21;
76;252;2022-03-01;2023-05-21;
77;269;2022-03-01;2023-05-21;
78;466;2022-03-01;2023-05-21;
79;454;2022-03-01;2023-05-21;
80;358;2022-03-01;2023-05-21;
81;323;2022-03-01;2023-05-21;
82;207;2022-03-01;2023-05-21;
83;1033;2022-03-01;2023-05-21;
84;69;2022-03-01;2023-05-21;
85;166;2022-03-01;2023-05-21;
86;357;2022-03-01;2023-05-21;
87;5;2022-03-01;2023-05-21;
88;122;2022-03-01;2023-05-21;
89;760;2022-03-01;2023-05-21;
90;630;2022-03-01;2023-05-21;
91;104;2022-03-01;2023-05-21;
92;25;2022-03-01;2023-05-21;
93;339;2022-03-01;2023-05-21;
94;28;2022-03-01;2023-05-21;
95;191;2022-03-01;2023-05-21;
96;30;2022-03-01;2023-05-21;
97;354;2022-03-01;2023-05-21;
98;6;2022-03-01;2023-05-21;
99;298;2022-03-01;2023-05-21;
100;402;2022-03-01;2023-05-21;
101;420;2022-03-01;2023-05-21;
102;1256;2022-03-01;2023-05-21;
103;1321;2022-03-01;2023-05-21;
104;97;2022-03-01;2023-05-21;
105;334;2022-03-01;2023-05-21;
106;336;2022-03-01;2023-05-21;
107;226;2022-03-01;2023-05-21;
108;784;2022-03-01;2023-05-21;
109;1141;2022-03-01;2023-05-21;
110;1035;2022-03-01;2023-05-21;
111;63;2022-03-01;2023-05-21;
112;265;2022-03-01;2023-05-21;
113;344;2022-03-01;2023-05-21;
114;158;2022-03-01;2023-05-21;
115;78;2022-03-01;2023-05-21;
116;960;2022-03-01;2023-05-21;
117;27;2022-03-01;2023-05-21;
117;318;2022-03-01;2022-03-01;
117;332;2022-03-01;2022-03-01;
118;1174;2022-03-01;2023-05-21;
119;248;2022-03-01;2023-05-21;
120;16;2022-03-01;2023-05-21;
121;4;2022-03-01;2023-05-21;
122;1052;2022-03-01;2023-05-21;
123;650;2022-03-01;2023-05-21;
124;461;2022-03-01;2023-05-21;
125;553;2022-03-01;2023-05-21;
126;239;2022-03-01;2023-05-21;
128;141;2022-03-01;2023-05-21;
129;356;2022-03-01;2023-05-21;
130;282;2022-03-01;2023-05-21;
131;328;2022-03-01;2023-05-21;
132;285;2022-03-01;2023-05-21;
133;224;2022-03-01;2023-05-21;
134;616;2022-03-01;2023-05-21;
135;292;2022-03-01;2023-05-21;
136;320;2022-03-01;2023-05-21;
137;22;2022-03-01;2023-05-21;
138;140;2022-03-01;2023-05-21;
139;81;2022-03-01;2023-05-21;
140;839;2022-03-01;2023-05-21;
141;209;2022-03-02;2022-03-02;
141;219;2022-03-02;2022-03-02;
141;283;2022-03-02;2022-03-02;
141;318;2022-03-02;2022-03-02;
141;331;2022-03-02;2022-03-02;
141;396;2022-03-02;2023-05-21;
141;920;2022-03-02;2022-03-02;
141;968;2022-03-02;2022-03-02;
143;702;2022-03-01;2023-05-21;
144;48;2022-03-01;2023-05-21;
145;146;2022-03-01;2023-05-21;
146;247;2022-03-01;2023-05-21;
147;225;2022-03-01;2023-05-21;
148;824;2022-03-01;2023-05-21;
149;72;2022-03-01;2023-05-21;
150;434;2022-03-01;2023-05-21;
151;26;2022-03-01;2023-05-21;
152;217;2022-03-01;2023-05-21;
153;119;2022-03-01;2023-05-21;
155;697;2022-03-01;2023-05-21;
156;203;2022-03-01;2023-05-21;
157;503;2022-03-01;2023-05-21;
158;256;2022-03-01;2023-05-21;
159;658;2022-03-01;2023-05-21;
160;1303;2022-03-01;2023-05-21;
162;133;2022-03-01;2023-05-21;
163;576;2022-03-01;2023-05-21;
164;18;2022-03-01;2023-05-21;
165;322;2022-03-01;2023-05-21;
166;7;2022-03-01;2023-05-21;
167;83;2022-03-01;2023-05-21;
168;345;2022-03-01;2023-05-21;
169;100;2022-03-01;2023-05-21;
170;611;2022-03-01;2023-05-21;
171;1138;2022-03-01;2023-05-21;
172;190;2022-03-01;2023-05-21;
173;193;2022-03-01;2023-05-21;
174;151;2022-03-01;2023-05-21;
175;232;2022-03-01;2023-05-21;
176;353;2022-03-01;2023-05-21;
177;156;2022-03-01;2023-05-21;
178;12;2022-03-01;2023-05-21;
179;300;2022-03-01;2023-05-21;
180;251;2022-03-01;2023-05-21;
181;314;2022-03-01;2023-05-21;
182;108;2022-03-01;2023-05-21;
183;1217;2022-03-01;2023-05-21;
184;201;2022-03-01;2023-05-21;
185;1296;2022-03-01;2023-05-21;
186;9;2022-03-01;2023-05-21;
187;493;2022-03-01;2023-05-21;
188;169;2022-03-01;2023-05-21;
189;836;2022-03-01;2023-05-21;
190;79;2022-03-01;2023-05-21;
191;253;2022-03-01;2023-05-21;
192;470;2022-03-01;2023-05-21;
193;205;2022-03-01;2023-05-21;
194;1007;2022-03-01;2023-05-21;
195;1261;2022-03-01;2023-05-21;
196;351;2022-03-01;2023-05-21;
197;152;2022-03-01;2023-05-21;
198;1017;2022-03-01;2023-05-21;
199;220;2022-03-01;2023-05-21;
200;1147;2022-03-01;2023-05-21;
201;925;2022-03-01;2023-05-21;
202;91;2022-03-01;2023-05-21;
203;266;2022-03-01;2023-05-21;
204;833;2022-03-01;2023-05-21;
205;1299;2022-03-01;2023-05-21;
206;47;2022-03-01;2023-05-21;
207;277;2022-03-01;2023-05-21;
208;52;2022-03-01;2023-05-21;
209;741;2022-03-01;2023-05-21;
210;262;2022-03-01;2023-05-21;
211;1082;2022-03-01;2023-05-21;
212;241;2022-03-01;2023-05-21;
213;84;2022-03-01;2023-05-21;
214;489;2022-03-01;2023-05-21;
215;853;2022-03-01;2023-05-21;
216;964;2022-03-01;2023-05-21;
217;60;2022-03-01;2023-05-21;
218;352;2022-03-01;2023-05-21;
219;153;2022-03-01;2023-05-21;
220;99;2022-03-01;2023-05-21;
221;325;2022-03-01;2023-05-21;
222;250;2022-03-01;2023-05-21;
223;13;2022-03-01;2023-05-21;
224;373;2022-03-01;2023-05-21;
225;709;2022-03-01;2023-05-21;
226;255;2022-03-01;2023-05-21;
227;293;2022-03-01;2023-05-21;
228;1254;2022-03-01;2023-05-21;
229;98;2022-03-01;2023-05-21;
230;1179;2022-03-01;2023-05-21;
231;260;2022-03-01;2023-05-21;
232;73;2022-03-01;2023-05-21;
233;998;2022-03-01;2023-05-21;
234;155;2022-03-01;2023-05-21;
235;288;2022-03-01;2023-05-21;
236;1155;2022-03-01;2023-05-21;
237;626;2022-03-01;2023-05-21;
238;1184;2022-03-01;2023-05-21;
239;185;2022-03-01;2023-05-21;
240;243;2022-03-01;2023-05-21;
241;1139;2022-03-01;2023-05-21;
242;361;2022-03-01;2023-05-21;
243;145;2022-03-01;2023-05-21;
244;90;2022-03-01;2023-05-21;
245;62;2022-03-01;2023-05-21;
246;312;2022-03-01;2023-05-21;
247;88;2022-03-01;2023-05-21;
248;556;2022-03-01;2023-05-21;
249;142;2022-03-01;2023-05-21;
250;129;2022-03-01;2023-05-21;
251;340;2022-03-01;2023-05-21;
252;363;2022-03-01;2023-05-21;
253;612;2022-03-01;2023-05-21;
254;940;2022-03-01;2023-05-21;
255;660;2022-03-01;2023-05-21;
257;595;2022-03-01;2023-05-21;
258;491;2022-03-01;2023-05-21;
259;1034;2022-03-01;2023-05-21;
260;542;2022-03-01;2023-05-21;
261;693;2022-03-01;2023-05-21;
263;914;2022-03-01;2023-05-21;
264;787;2022-03-01;2023-05-21;
265;1282;2022-03-01;2023-05-21;
266;654;2022-03-01;2023-05-21;
268;748;2022-03-01;2023-05-21;
269;560;2022-03-01;2023-05-21;
270;881;2022-03-01;2023-05-21;
271;543;2022-03-01;2023-05-21;
272;409;2022-03-01;2023-05-21;
273;587;2022-03-01;2023-05-21;
274;644;2022-03-01;2023-05-21;
275;1233;2022-03-01;2023-05-21;
276;1163;2022-03-01;2023-05-21;
277;575;2022-03-01;2023-05-21;
278;443;2022-03-01;2023-05-21;
280;885;2022-03-01;2023-05-21;
281;398;2022-03-01;2023-05-21;
282;1049;2022-03-01;2023-05-21;
283;483;2022-03-01;2023-05-21;
284;394;2022-03-01;2023-05-21;
286;563;2022-03-01;2023-05-21;
287;485;2022-03-01;2023-05-21;
289;480;2022-03-01;2023-05-21;
290;1307;2022-03-01;2023-05-21;
291;508;2022-03-01;2023-05-21;
292;497;2022-03-01;2023-05-21;
293;1094;2022-03-01;2023-05-21;
294;642;2022-03-01;2023-05-21;
295;471;2022-03-01;2023-05-21;
296;436;2022-03-01;2023-05-21;
297;1014;2022-03-01;2023-05-21;
299;673;2022-03-01;2023-05-21;
300;1230;2022-03-01;2023-05-21;
302;740;2022-03-01;2023-05-21;
303;435;2022-03-01;2023-05-21;
304;1265;2022-03-01;2023-05-21;
305;674;2022-03-01;2023-05-21;
306;945;2022-03-01;2023-05-21;
307;607;2022-03-01;2023-05-21;
308;805;2022-03-01;2023-05-21;
309;864;2022-03-01;2023-05-21;
310;937;2022-03-01;2023-05-21;
311;423;2022-03-01;2023-05-21;
312;969;2022-03-01;2023-05-21;
313;908;2022-03-01;2023-05-21;
314;539;2022-03-01;2023-05-21;
315;888;2022-03-01;2023-05-21;
316;703;2022-03-01;2023-05-21;
317;682;2022-03-01;2023-05-21;
318;685;2022-03-01;2023-05-21;
319;1066;2022-03-01;2023-05-21;
320;494;2022-03-01;2023-05-21;
321;428;2022-03-01;2023-05-21;
322;570;2022-03-01;2023-05-21;
323;624;2022-03-01;2023-05-21;
324;935;2022-03-01;2023-05-21;
325;617;2022-03-01;2023-05-21;
326;496;2022-03-01;2023-05-21;
327;719;2022-03-01;2023-05-21;
328;405;2022-03-01;2023-05-21;
329;1077;2022-03-01;2023-05-21;
330;614;2022-03-01;2023-05-21;
331;622;2022-03-01;2023-05-21;
332;1041;2022-03-01;2023-05-21;
333;1097;2022-03-01;2023-05-21;
334;1309;2022-03-01;2023-05-21;
335;1015;2022-03-01;2023-05-21;
336;374;2022-03-01;2023-05-21;
337;781;2022-03-01;2023-05-21;
338;526;2022-03-01;2023-05-21;
339;721;2022-03-01;2023-05-21;
340;1128;2022-03-01;2023-05-21;
341;1212;2022-03-01;2023-05-21;
342;659;2022-03-01;2023-05-21;
343;1277;2022-03-01;2023-05-21;
344;737;2022-03-01;2023-05-21;
345;375;2022-03-01;2023-05-21;
347;1281;2022-03-01;2023-05-21;
348;521;2022-03-01;2023-05-21;
349;628;2022-03-01;2023-05-21;
350;694;2022-03-01;2023-05-21;
351;1056;2022-03-01;2023-05-21;
353;379;2022-03-01;2023-05-21;
354;776;2022-03-01;2023-05-21;
355;643;2022-03-01;2023-05-21;
357;520;2022-03-01;2023-05-21;
358;679;2022-03-01;2023-05-21;
359;645;2022-03-01;2023-05-21;
360;455;2022-03-01;2023-05-21;
361;1268;2022-03-01;2023-05-21;
362;670;2022-03-01;2023-05-21;
363;566;2022-03-01;2023-05-21;
364;931;2022-03-01;2023-05-21;
365;429;2022-03-01;2023-05-21;
366;788;2022-03-01;2023-05-21;
367;996;2022-03-01;2023-05-21;
368;1185;2022-03-01;2023-05-21;
369;724;2022-03-01;2023-05-21;
370;565;2022-03-01;2023-05-21;
371;368;2022-03-01;2023-05-21;
372;283;2022-03-02;2023-05-21;
372;396;2022-03-02;2022-03-02;
372;464;2022-03-02;2022-03-02;
372;484;2022-03-02;2022-03-02;
372;558;2022-03-02;2022-03-02;
372;663;2022-03-02;2022-03-02;
373;609;2022-03-01;2023-05-21;
374;594;2022-03-01;2023-05-21;
375;820;2022-03-01;2023-05-21;
376;972;2022-03-01;2023-05-21;
377;944;2022-03-01;2023-05-21;
378;478;2022-03-01;2023-05-21;
379;1286;2022-03-01;2023-05-21;
381;538;2022-03-01;2023-05-21;
385;578;2022-03-01;2023-05-21;
386;381;2022-03-01;2023-05-21;
387;413;2022-03-01;2023-05-21;
388;668;2022-03-01;2023-05-21;
389;469;2022-03-01;2023-05-21;
390;453;2022-03-01;2023-05-21;
391;1308;2022-03-01;2023-05-21;
393;606;2022-03-01;2023-05-21;
394;657;2022-03-01;2023-05-21;
395;573;2022-03-01;2023-05-21;
396;514;2022-03-01;2023-05-21;
397;541;2022-03-01;2023-05-21;
398;646;2022-03-01;2023-05-21;
399;793;2022-03-01;2023-05-21;
400;601;2022-03-01;2023-05-21;
401;726;2022-03-01;2023-05-21;
402;689;2022-03-01;2023-05-21;
403;177;2022-03-02;2022-03-02;
403;283;2022-03-02;2022-03-02;
403;329;2022-03-02;2023-05-21;
403;332;2022-03-02;2022-03-02;
403;396;2022-03-02;2022-03-02;
403;464;2022-03-02;2022-03-02;
403;488;2022-03-02;2022-03-02;
403;558;2022-03-02;2022-03-02;
403;920;2022-03-02;2022-03-02;
404;1010;2022-03-01;2023-05-21;
405;669;2022-03-01;2023-05-21;
408;635;2022-03-01;2023-05-21;
409;633;2022-03-01;2023-05-21;
410;958;2022-03-01;2023-05-21;
411;620;2022-03-01;2023-05-21;
412;593;2022-03-01;2023-05-21;
413;1109;2022-03-01;2023-05-21;
414;994;2022-03-01;2023-05-21;
415;738;2022-03-01;2023-05-21;
416;640;2022-03-01;2023-05-21;
417;519;2022-03-01;2023-05-21;
418;684;2022-03-01;2023-05-21;
419;656;2022-03-01;2023-05-21;
420;1243;2022-03-01;2023-05-21;
421;366;2022-03-01;2023-05-21;
422;531;2022-03-01;2023-05-21;
423;1301;2022-03-01;2023-05-21;
424;421;2022-03-01;2023-05-21;
425;451;2022-03-01;2023-05-21;
426;399;2022-03-01;2023-05-21;
427;481;2022-03-01;2023-05-21;
428;934;2022-03-01;2023-05-21;
429;728;2022-03-01;2023-05-21;
430;467;2022-03-01;2023-05-21;
431;691;2022-03-01;2023-05-21;
432;386;2022-03-01;2023-05-21;
433;109;2022-03-01;2023-05-21;
434;664;2022-03-01;2023-05-21;
435;397;2022-03-01;2023-05-21;
436;567;2022-03-01;2023-05-21;
437;479;2022-03-01;2023-05-21;
438;401;2022-03-01;2023-05-21;
439;474;2022-03-01;2023-05-21;
440;848;2022-03-01;2023-05-21;
441;602;2022-03-01;2023-05-21;
442;512;2022-03-01;2023-05-21;
443;408;2022-03-01;2023-05-21;
444;705;2022-03-01;2023-05-21;
445;590;2022-03-01;2023-05-21;
446;1255;2022-03-01;2023-05-21;
447;623;2022-03-01;2023-05-21;
448;639;2022-03-01;2023-05-21;
449;392;2022-03-01;2023-05-21;
450;518;2022-03-01;2023-05-21;
451;1093;2022-03-01;2023-05-21;
452;506;2022-03-01;2023-05-21;
453;692;2022-03-01;2023-05-21;
454;39;2022-03-01;2023-05-21;
455;924;2022-03-01;2023-05-21;
456;662;2022-03-01;2023-05-21;
457;1071;2022-03-01;2023-05-21;
458;747;2022-03-01;2023-05-21;
459;462;2022-03-01;2023-05-21;
460;655;2022-03-01;2023-05-21;
461;1264;2022-03-01;2023-05-21;
462;604;2022-03-01;2023-05-21;
463;588;2022-03-01;2023-05-21;
464;564;2022-03-01;2023-05-21;
465;1058;2022-03-01;2023-05-21;
466;883;2022-03-01;2023-05-21;
467;417;2022-03-01;2023-05-21;
468;438;2022-03-01;2023-05-21;
469;671;2022-03-01;2023-05-21;
470;382;2022-03-01;2023-05-21;
471;1062;2022-03-01;2023-05-21;
472;457;2022-03-01;2023-05-21;
473;686;2022-03-01;2023-05-21;
474;938;2022-03-01;2023-05-21;
475;790;2022-03-01;2023-05-21;
476;950;2022-03-01;2023-05-21;
477;552;2022-03-01;2023-05-21;
478;661;2022-03-01;2023-05-21;
479;605;2022-03-01;2023-05-21;
480;1060;2022-03-01;2023-05-21;
481;548;2022-03-01;2023-05-21;
482;840;2022-03-01;2023-05-21;
483;1314;2022-03-01;2023-05-21;
484;676;2022-03-01;2023-05-21;
485;284;2022-03-01;2023-05-21;
486;878;2022-03-01;2023-05-21;
487;690;2022-03-01;2023-05-21;
488;425;2022-03-01;2023-05-21;
489;976;2022-03-01;2023-05-21;
490;773;2022-03-01;2023-05-21;
491;544;2022-03-01;2023-05-21;
492;522;2022-03-01;2023-05-21;
493;680;2022-03-01;2023-05-21;
494;1283;2022-03-01;2023-05-21;
495;505;2022-03-01;2023-05-21;
496;743;2022-03-01;2023-05-21;
497;93;2022-04-11;2023-05-21;
497;460;2022-03-01;2022-04-11;
497;547;2022-04-11;2022-04-11;
497;615;2022-04-11;2022-04-11;
497;648;2022-04-11;2022-04-11;
497;683;2022-04-11;2022-04-11;
498;530;2022-03-01;2023-05-21;
499;1112;2022-03-01;2023-05-21;
500;1245;2022-03-01;2023-05-21;
501;458;2022-03-01;2023-05-21;
502;583;2022-03-01;2023-05-21;
503;618;2022-03-01;2023-05-21;
504;862;2022-03-01;2023-05-21;
505;837;2022-03-01;2023-05-21;
506;754;2022-03-01;2023-05-21;
507;447;2022-03-01;2023-05-21;
508;857;2022-03-01;2023-05-21;
511;1198;2022-03-01;2023-05-21;
513;718;2022-03-01;2023-05-21;
515;706;2022-03-01;2023-05-21;
516;859;2022-03-01;2023-05-21;
517;1005;2022-03-01;2023-05-21;
518;876;2022-03-01;2023-05-21;
519;717;2022-03-01;2023-05-21;
520;1207;2022-03-01;2023-05-21;
521;887;2022-03-01;2023-05-21;
522;608;2022-03-01;2023-05-21;
524;861;2022-03-01;2023-05-21;
525;1271;2022-03-01;2023-05-21;
527;755;2022-03-01;2023-05-21;
528;1186;2022-03-01;2023-05-21;
529;812;2022-03-01;2023-05-21;
530;813;2022-03-01;2023-05-21;
531;1203;2022-03-01;2023-05-21;
532;1323;2022-03-01;2023-05-21;
533;984;2022-03-01;2023-05-21;
534;195;2022-03-01;2023-05-21;
535;786;2022-03-01;2023-05-21;
536;1270;2022-03-01;2023-05-21;
537;774;2022-03-01;2023-05-21;
538;759;2022-03-01;2023-05-21;
540;918;2022-03-01;2023-05-21;
542;1190;2022-03-01;2023-05-21;
543;764;2022-03-01;2023-05-21;
544;948;2022-03-01;2023-05-21;
545;819;2022-03-01;2023-05-21;
546;189;2022-03-01;2023-05-21;
547;1209;2022-03-01;2023-05-21;
548;1272;2022-03-01;2023-05-21;
549;1262;2022-03-01;2023-05-21;
550;977;2022-03-01;2023-05-21;
551;746;2022-03-01;2023-05-21;
552;1279;2022-03-01;2023-05-21;
554;943;2022-03-01;2023-05-21;
555;785;2022-03-01;2023-05-21;
556;789;2022-03-01;2023-05-21;
557;801;2022-03-01;2023-05-21;
559;396;2022-03-02;2022-03-02;
559;484;2022-03-02;2023-05-21;
559;488;2022-03-02;2022-03-02;
559;513;2022-03-02;2022-03-02;
559;891;2022-03-02;2022-03-02;
559;968;2022-03-02;2022-03-02;
560;1195;2022-03-01;2023-05-21;
561;1100;2022-03-01;2023-05-21;
562;1240;2022-03-01;2023-05-21;
563;777;2022-03-01;2023-05-21;
564;769;2022-03-01;2023-05-21;
565;951;2022-03-01;2023-05-21;
566;855;2022-03-01;2023-05-21;
569;808;2022-03-01;2023-05-21;
570;1003;2022-03-01;2023-05-21;
571;886;2022-03-01;2023-05-21;
573;814;2022-03-01;2023-05-21;
576;315;2022-03-02;2023-05-21;
578;890;2022-03-01;2023-05-21;
579;771;2022-03-01;2023-05-21;
581;791;2022-03-01;2023-05-21;
582;735;2022-03-01;2023-05-21;
583;982;2022-03-01;2023-05-21;
584;1028;2022-03-01;2023-05-21;
585;1031;2022-03-01;2023-05-21;
586;1191;2022-03-01;2023-05-21;
587;962;2022-03-01;2023-05-21;
588;933;2022-03-01;2023-05-21;
590;905;2022-03-01;2023-05-21;
591;794;2022-03-01;2023-05-21;
592;1294;2022-03-01;2023-05-21;
593;796;2022-03-01;2023-05-21;
594;1030;2022-03-01;2023-05-21;
596;981;2022-03-01;2023-05-21;
597;873;2022-03-01;2023-05-21;
598;1241;2022-03-01;2023-05-21;
600;823;2022-03-01;2023-05-21;
601;955;2022-03-01;2023-05-21;
606;798;2022-03-01;2023-05-21;
607;807;2022-03-01;2023-05-21;
608;844;2022-03-01;2023-05-21;
609;23;2022-03-01;2023-05-21;
610;907;2022-03-01;2023-05-21;
612;733;2022-03-01;2023-05-21;
613;696;2022-03-01;2023-05-21;
614;1050;2022-03-01;2023-05-21;
616;897;2022-03-01;2023-05-21;
618;1079;2022-03-01;2023-05-21;
619;1181;2022-03-01;2023-05-21;
620;965;2022-03-01;2023-05-21;
622;708;2022-03-01;2023-05-21;
623;716;2022-03-01;2023-05-21;
624;714;2022-03-01;2023-05-21;
625;966;2022-03-01;2023-05-21;
626;816;2022-03-01;2023-05-21;
627;1231;2022-03-01;2023-05-21;
630;946;2022-03-01;2023-05-21;
631;1036;2022-03-01;2023-05-21;
632;131;2022-03-01;2023-05-21;
633;1025;2022-03-01;2023-05-21;
635;1002;2022-03-01;2023-05-21;
636;1274;2022-03-01;2023-05-21;
637;863;2022-03-01;2023-05-21;
638;1095;2022-03-01;2023-05-21;
640;666;2022-03-02;2023-05-21;
640;920;2022-03-02;2022-03-02;
642;1199;2022-03-01;2023-05-21;
644;313;2022-03-01;2023-05-21;
645;1159;2022-03-01;2023-05-21;
646;921;2022-03-01;2023-05-21;
648;815;2022-03-01;2023-05-21;
649;1070;2022-03-01;2023-05-21;
650;952;2022-03-01;2023-05-21;
651;1165;2022-03-01;2023-05-21;
652;768;2022-03-01;2023-05-21;
654;734;2022-03-01;2023-05-21;
656;980;2022-03-01;2023-05-21;
659;971;2022-03-01;2023-05-21;
660;729;2022-03-01;2023-05-21;
661;172;2022-03-01;2023-05-21;
662;95;2022-03-01;2023-05-21;
664;173;2022-03-01;2023-05-21;
665;1218;2022-03-01;2023-05-21;
666;1317;2022-03-01;2023-05-21;
667;208;2022-03-01;2023-05-21;
669;64;2022-03-01;2023-05-21;
671;338;2022-03-01;2023-05-21;
672;865;2022-03-01;2023-05-21;
673;1247;2022-03-01;2023-05-21;
674;1001;2022-03-01;2023-05-21;
675;967;2022-03-01;2023-05-21;
676;1312;2022-03-01;2023-05-21;
677;1204;2022-03-01;2023-05-21;
678;828;2022-03-01;2023-05-21;
679;957;2022-03-01;2023-05-21;
680;310;2022-03-01;2023-05-21;
681;825;2022-03-01;2023-05-21;
682;744;2022-03-01;2023-05-21;
683;275;2022-03-01;2023-05-21;
684;849;2022-03-01;2023-05-21;
685;1013;2022-03-01;2023-05-21;
686;851;2022-03-01;2023-05-21;
687;868;2022-03-01;2023-05-21;
688;739;2022-03-01;2023-05-21;
689;902;2022-03-01;2023-05-21;
690;1008;2022-03-01;2023-05-21;
691;810;2022-03-01;2023-05-21;
692;852;2022-03-01;2023-05-21;
693;756;2022-03-01;2023-05-21;
694;882;2022-03-01;2023-05-21;
695;895;2022-03-01;2023-05-21;
696;711;2022-03-01;2023-05-21;
697;1012;2022-03-01;2023-05-21;
698;910;2022-03-01;2023-05-21;
699;1067;2022-03-01;2023-05-21;
700;720;2022-03-01;2023-05-21;
701;912;2022-03-01;2023-05-21;
702;1059;2022-03-01;2023-05-21;
703;817;2022-03-01;2023-05-21;
704;752;2022-03-01;2023-05-21;
705;930;2022-03-01;2023-05-21;
706;896;2022-03-01;2023-05-21;
707;111;2022-03-01;2023-05-21;
708;889;2022-03-01;2023-05-21;
709;42;2022-03-01;2023-05-21;
710;1313;2022-03-01;2023-05-21;
711;782;2022-03-01;2023-05-21;
712;244;2022-03-01;2023-05-21;
713;1263;2022-03-01;2023-05-21;
714;987;2022-03-01;2023-05-21;
715;831;2022-03-01;2023-05-21;
716;1134;2022-03-01;2023-05-21;
717;1137;2022-03-01;2023-05-21;
718;843;2022-03-01;2023-05-21;
719;892;2022-03-01;2023-05-21;
720;698;2022-03-01;2023-05-21;
721;150;2022-03-01;2023-05-21;
722;894;2022-03-01;2023-05-21;
723;1322;2022-03-01;2023-05-21;
724;1288;2022-03-01;2023-05-21;
725;736;2022-03-01;2023-05-21;
726;869;2022-03-01;2023-05-21;
727;922;2022-03-01;2023-05-21;
728;113;2022-03-01;2023-05-21;
729;799;2022-03-01;2023-05-21;
730;712;2022-03-01;2023-05-21;
731;903;2022-03-01;2023-05-21;
732;1092;2022-03-01;2023-05-21;
733;223;2022-03-01;2023-05-21;
734;1011;2022-03-01;2023-05-21;
735;341;2022-03-01;2023-05-21;
736;1253;2022-03-01;2023-05-21;
737;725;2022-03-01;2023-05-21;
738;806;2022-03-01;2023-05-21;
739;879;2022-03-01;2023-05-21;
740;989;2022-03-01;2023-05-21;
741;61;2022-03-01;2023-05-21;
742;1153;2022-03-01;2023-05-21;
743;1020;2022-03-01;2023-05-21;
744;999;2022-03-01;2023-05-21;
745;582;2022-03-01;2023-05-21;
746;1000;2022-03-01;2023-05-21;
747;1269;2022-03-01;2023-05-21;
