dt,venuetype,venueid,revenue
2022-04-01,apartment,101,562.35
2022-04-01,apartment,104,778.3
2022-04-01,apartment,105,778.3
2022-04-01,apartment,106,720.58
2022-04-01,apartment,107,955.13
2022-04-01,apartment,109,701.49
2022-04-01,apartment,111,642.06
2022-04-01,apartment,115,665.25
2022-04-01,apartment,121,724.24
2022-04-01,apartment,122,724.24
2022-04-01,apartment,124,794.25
2022-04-01,apartment,125,405.1
2022-04-01,apartment,126,452.65
2022-04-01,apartment,127,386.81
2022-04-01,apartment,132,794.25
2022-04-01,apartment,134,707.78
2022-04-01,apartment,135,1458.69
2022-04-01,apartment,136,1002.23
2022-04-01,apartment,137,1106.22
2022-04-01,apartment,139,778.3
2022-04-01,apartment,141,1301.56
2022-04-01,apartment,142,821.71
2022-04-01,apartment,144,433.45
2022-04-01,apartment,147,1121.11
2022-04-01,apartment,148,742.53
2022-04-01,apartment,151,554.01
2022-04-01,apartment,152,885.67
2022-04-01,apartment,153,351.15
2022-04-01,apartment,154,839.46
2022-04-01,apartment,155,419.73
2022-04-01,apartment,156,422.08
2022-04-01,apartment,159,1375.32
2022-04-01,apartment,161,366.69
2022-04-01,apartment,166,810.2
2022-04-01,apartment,168,749.32
2022-04-01,apartment,169,688.44
2022-04-01,apartment,171,768.16
2022-04-01,apartment,174,773.62
2022-04-01,apartment,175,441.68
2022-04-01,apartment,176,811.09
2022-04-01,apartment,177,366.69
2022-04-01,apartment,178,811.09
2022-04-01,apartment,180,1014.55
2022-04-01,apartment,181,673.03
2022-04-01,apartment,183,581.19
2022-04-01,apartment,184,760.91
2022-04-01,apartment,185,751.67
2022-04-01,apartment,186,567.87
2022-04-01,apartment,187,720.58
2022-04-01,apartment,188,749.32
2022-04-01,apartment,189,363.03
2022-04-01,apartment,190,1174.17
2022-04-01,apartment,191,742.53
2022-04-01,apartment,192,1075.42
2022-04-01,apartment,193,775.45
2022-04-01,apartment,195,523.06
2022-04-01,apartment,196,1556.36
2022-04-01,apartment,198,801.49
2022-04-01,apartment,202,1066.73
2022-04-01,apartment,203,421.56
2022-04-01,apartment,206,726.13
2022-04-01,apartment,209,1001.51
2022-04-01,apartment,213,360.29
2022-04-01,apartment,214,396.87
2022-04-01,apartment,215,626.12
2022-04-01,apartment,216,372.18
2022-04-01,apartment,219,778.3
2022-04-01,apartment,221,815.34
2022-04-01,apartment,229,724.24
2022-04-01,apartment,230,486.97
2022-04-01,apartment,231,801.49
2022-04-01,apartment,233,501.11
2022-04-01,apartment,235,452.65
2022-04-01,apartment,236,802.94
2022-04-01,apartment,240,821.17
2022-04-01,apartment,241,781.2
2022-04-01,apartment,243,600.03
2022-04-01,apartment,245,665.25
2022-04-01,apartment,250,419.73
2022-04-01,apartment,252,1130.71
2022-04-01,apartment,256,419.73
2022-04-01,apartment,257,1121.11
2022-04-01,apartment,261,1475.67
2022-04-01,apartment,263,1223.52
2022-04-01,apartment,265,1061.63
2022-04-01,apartment,266,687.0
2022-04-01,apartment,272,360.29
2022-04-01,apartment,273,586.99
2022-04-01,apartment,275,455.39
2022-04-01,apartment,276,571.05
2022-04-01,apartment,277,790.08
2022-04-01,apartment,279,665.25
2022-04-01,apartment,280,573.36
2022-04-01,apartment,281,900.05
2022-04-01,apartment,282,781.2
2022-04-01,apartment,284,829.03
2022-04-01,apartment,286,635.54
2022-04-01,apartment,288,715.98
2022-04-01,apartment,289,751.67
2022-04-01,apartment,291,556.55
2022-04-01,apartment,296,375.84
2022-04-01,apartment,297,749.32
2022-04-01,apartment,298,715.09
2022-04-01,apartment,299,1318.55
2022-04-01,apartment,301,573.95
2022-04-01,apartment,306,898.14
2022-04-01,apartment,307,850.82
2022-04-01,apartment,308,348.4
2022-04-01,apartment,309,573.95
2022-04-01,apartment,312,749.32
2022-04-01,apartment,314,419.73
2022-04-01,apartment,320,698.59
2022-04-01,apartment,321,1179.63
2022-04-01,apartment,322,846.42
2022-04-01,apartment,323,888.46
2022-04-01,apartment,325,914.44
2022-04-01,apartment,326,813.85
2022-04-01,apartment,327,406.93
2022-04-01,apartment,331,406.93
2022-04-01,apartment,334,823.0
2022-04-01,apartment,336,900.05
2022-04-01,apartment,341,433.45
2022-04-01,apartment,344,615.98
2022-04-01,apartment,345,516.66
2022-04-01,apartment,346,567.87
2022-04-01,apartment,349,715.09
2022-04-01,apartment,351,815.99
2022-04-01,apartment,352,696.8
2022-04-01,apartment,355,558.0
2022-04-01,apartment,356,945.53
2022-04-01,apartment,362,631.88
2022-04-01,apartment,365,698.59
2022-04-01,apartment,366,787.0
2022-04-01,apartment,367,720.58
2022-04-01,apartment,368,744.36
2022-04-01,apartment,370,793.74
2022-04-01,apartment,371,586.99
2022-04-01,apartment,372,829.03
2022-04-01,apartment,373,829.03
2022-04-01,apartment,376,872.51
2022-04-01,apartment,377,422.08
2022-04-01,apartment,378,1097.73
2022-04-01,apartment,451,427.93
2022-04-01,apartment,452,370.98
2022-04-01,apartment,453,388.88
2022-04-01,apartment,454,742.72
2022-04-01,apartment,456,381.91
2022-04-01,apartment,457,760.78
2022-04-01,apartment,458,409.92
2022-04-01,apartment,459,773.67
2022-04-01,apartment,460,465.35
2022-04-01,apartment,461,784.27
2022-04-01,apartment,463,887.14
2022-04-01,apartment,464,830.41
2022-04-01,apartment,465,465.35
2022-04-01,apartment,468,709.42
2022-04-01,apartment,470,416.54
2022-04-01,apartment,471,872.13
2022-04-01,apartment,476,791.98
2022-04-01,apartment,478,790.77
2022-04-01,apartment,479,773.67
2022-04-01,apartment,480,712.67
2022-04-01,apartment,481,719.51
2022-04-01,apartment,482,559.62
2022-04-01,apartment,485,691.15
2022-04-01,apartment,486,803.79
2022-04-01,apartment,487,1047.86
2022-04-01,apartment,488,654.76
2022-04-01,apartment,489,737.57
2022-04-01,apartment,491,719.51
2022-04-01,apartment,494,388.88
2022-04-01,apartment,496,644.97
2022-04-01,apartment,497,380.74
2022-04-01,apartment,500,803.92
2022-04-01,apartment,505,990.3
2022-04-01,apartment,506,507.5
2022-04-01,apartment,509,515.62
2022-04-01,apartment,510,993.62
2022-04-01,apartment,511,959.99
2022-04-01,apartment,512,741.96
2022-04-01,apartment,514,855.86
2022-04-01,apartment,515,519.05
2022-04-01,apartment,517,851.45
2022-04-01,apartment,519,499.52
2022-04-01,apartment,520,381.91
2022-04-01,apartment,523,370.98
2022-04-01,apartment,524,356.34
2022-04-01,apartment,525,465.35
2022-04-01,apartment,527,530.44
2022-04-01,apartment,528,456.39
2022-04-01,apartment,531,436.06
2022-04-01,apartment,532,559.62
2022-04-01,apartment,538,398.64
2022-04-01,apartment,541,761.49
2022-04-01,apartment,542,795.67
2022-04-01,apartment,543,719.18
2022-04-01,apartment,544,660.2
2022-04-01,apartment,547,761.49
2022-04-01,apartment,550,621.52
2022-04-01,apartment,551,1103.18
2022-04-01,apartment,552,813.86
2022-04-01,apartment,556,1088.3
2022-04-01,apartment,557,804.37
2022-04-01,apartment,561,499.52
2022-04-01,apartment,562,356.34
2022-04-01,apartment,564,823.61
2022-04-01,apartment,569,605.32
2022-04-01,apartment,570,530.44
2022-04-01,apartment,574,416.54
2022-04-01,apartment,575,1059.93
2022-04-01,apartment,576,807.18
2022-04-01,apartment,577,590.57
2022-04-01,apartment,579,1001.18
2022-04-01,apartment,582,475.11
2022-04-01,apartment,584,797.28
2022-04-01,apartment,590,515.62
2022-04-01,apartment,592,380.74
2022-04-01,apartment,594,737.57
2022-04-01,apartment,595,776.25
2022-04-01,apartment,596,999.04
2022-04-01,apartment,597,465.35
2022-04-01,apartment,598,825.25
2022-04-01,apartment,600,621.52
2022-04-01,apartment,601,691.52
2022-04-01,apartment,603,826.22
2022-04-01,apartment,605,819.83
2022-04-01,apartment,607,453.96
2022-04-01,apartment,608,372.61
2022-04-01,apartment,609,1088.3
2022-04-01,apartment,614,781.41
2022-04-01,apartment,615,493.01
2022-04-01,apartment,616,431.18
2022-04-01,apartment,618,431.18
2022-04-01,apartment,620,807.18
2022-04-01,apartment,621,439.32
2022-04-01,apartment,622,582.63
2022-04-01,apartment,627,803.79
2022-04-01,apartment,628,475.11
2022-04-01,apartment,638,390.51
2022-04-01,apartment,640,830.41
2022-04-01,apartment,641,587.99
2022-04-01,apartment,645,626.67
2022-04-01,apartment,649,603.46
2022-04-01,apartment,651,523.93
2022-04-01,apartment,652,719.51
2022-04-01,apartment,655,665.36
2022-04-01,apartment,660,380.74
2022-04-01,apartment,663,465.35
2022-04-01,apartment,664,719.51
2022-04-01,apartment,671,691.15
2022-04-01,apartment,672,808.5
2022-04-01,apartment,675,715.93
2022-04-01,apartment,677,667.94
2022-04-01,apartment,678,813.86
2022-04-01,apartment,679,603.46
2022-04-01,apartment,680,509.27
2022-04-01,apartment,682,580.25
2022-04-01,apartment,685,691.15
2022-04-01,apartment,687,413.11
2022-04-01,apartment,688,453.96
2022-04-01,apartment,691,800.54
2022-04-01,apartment,694,660.2
2022-04-01,apartment,695,999.04
2022-04-01,apartment,697,791.72
2022-04-01,apartment,700,530.44
2022-04-01,apartment,702,618.94
2022-04-01,apartment,703,715.93
2022-04-01,apartment,704,616.36
2022-04-01,apartment,705,761.49
2022-04-01,apartment,709,827.39
2022-04-01,apartment,710,741.96
2022-04-01,apartment,711,631.83
2022-04-01,apartment,712,616.36
2022-04-01,apartment,713,649.7
2022-04-01,apartment,715,509.27
2022-04-01,apartment,717,649.7
2022-04-01,apartment,718,418.17
2022-04-01,apartment,719,631.83
2022-04-01,apartment,720,761.49
2022-04-01,apartment,722,439.32
2022-04-01,apartment,723,603.46
2022-04-01,apartment,725,800.54
2022-04-01,apartment,726,819.83
2022-04-01,apartment,729,706.16
2022-04-01,apartment,733,678.25
2022-04-01,apartment,735,776.25
2022-04-01,apartment,736,636.99
2022-04-01,apartment,737,709.42
2022-04-01,apartment,740,722.44
2022-04-01,apartment,741,776.25
2022-04-01,apartment,747,370.98
2022-04-01,apartment,748,380.74
2022-04-01,apartment,751,819.83
2022-04-01,apartment,752,760.78
2022-04-01,apartment,754,636.99
2022-04-01,apartment,755,993.62
2022-04-01,apartment,756,761.49
2022-04-01,apartment,757,1247.35
2022-04-01,apartment,763,784.27
2022-04-01,apartment,764,587.99
2022-04-01,apartment,768,719.18
2022-04-01,apartment,769,761.49
2022-04-01,apartment,771,590.57
2022-04-01,apartment,774,649.7
2022-04-01,apartment,775,706.16
2022-04-01,apartment,776,715.93
2022-04-01,apartment,777,763.83
2022-04-01,apartment,779,825.25
2022-04-01,apartment,780,745.21
2022-04-01,apartment,781,784.27
2022-04-01,apartment,782,807.18
2022-04-01,apartment,784,855.86
2022-04-01,apartment,785,493.01
2022-04-01,apartment,788,737.57
2022-04-01,apartment,791,519.05
2022-04-01,apartment,792,1018.54
2022-04-01,apartment,793,836.33
2022-04-01,apartment,794,603.46
2022-04-01,apartment,795,392.13
2022-04-01,apartment,797,840.72
2022-04-01,apartment,800,398.64
2022-04-01,apartment,801,761.49
2022-04-01,apartment,802,353.08
2022-04-01,apartment,806,822.67
2022-04-01,apartment,807,427.93
2022-04-01,apartment,809,421.42
2022-04-01,apartment,810,567.36
2022-04-01,apartment,812,423.05
2022-04-01,apartment,813,1373.28
2022-04-01,apartment,814,709.42
2022-04-01,apartment,815,706.16
2022-04-01,apartment,816,719.51
2022-04-01,apartment,818,719.51
2022-04-01,apartment,819,1088.3
2022-04-01,apartment,821,436.06
2022-04-01,apartment,823,706.16
2022-04-01,apartment,824,634.41
2022-04-01,apartment,825,431.18
2022-04-01,apartment,826,678.25
2022-04-01,apartment,827,395.39
2022-04-01,apartment,901,415.89
2022-04-01,apartment,903,793.53
2022-04-01,apartment,904,399.16
2022-04-01,apartment,905,628.86
2022-04-01,apartment,906,623.18
2022-04-01,apartment,907,788.75
2022-04-01,apartment,908,815.82
2022-04-01,apartment,909,602.34
2022-04-01,apartment,910,589.08
2022-04-01,apartment,913,359.72
2022-04-01,apartment,914,659.17
2022-04-01,apartment,916,824.14
2022-04-01,apartment,918,415.89
2022-04-01,apartment,920,731.39
2022-04-01,apartment,921,659.17
2022-04-01,apartment,922,824.14
2022-04-01,apartment,923,738.56
2022-04-01,apartment,924,623.18
2022-04-01,apartment,926,554.99
2022-04-01,apartment,928,554.99
2022-04-01,apartment,930,558.78
2022-04-01,apartment,934,577.72
2022-04-01,apartment,935,415.89
2022-04-01,apartment,936,779.19
2022-04-01,apartment,938,602.34
2022-04-01,apartment,939,565.27
2022-04-01,apartment,941,415.89
2022-04-01,apartment,942,767.24
2022-04-01,apartment,943,991.92
2022-04-01,apartment,945,368.09
2022-04-01,apartment,946,659.17
2022-04-01,apartment,947,700.32
2022-04-01,apartment,948,786.08
2022-04-01,apartment,949,748.12
2022-04-01,apartment,950,659.17
2022-04-01,apartment,951,786.08
2022-04-01,apartment,952,598.74
2022-04-01,apartment,953,523.45
2022-04-01,apartment,955,577.72
2022-04-01,apartment,957,451.74
2022-04-01,apartment,958,786.36
2022-04-01,apartment,959,358.52
2022-04-01,apartment,962,813.04
2022-04-01,apartment,963,1029.79
2022-04-01,apartment,964,388.4
2022-04-01,apartment,965,615.6
2022-04-01,apartment,967,350.16
2022-04-01,apartment,969,415.89
2022-04-01,apartment,970,396.77
2022-04-01,apartment,971,659.17
2022-04-01,apartment,972,438.59
2022-04-01,apartment,974,1023.4
2022-04-01,apartment,977,602.34
2022-04-01,apartment,979,717.05
2022-04-01,apartment,980,734.93
2022-04-01,apartment,983,760.07
2022-04-01,apartment,984,417.08
2022-04-01,apartment,985,577.72
2022-04-01,apartment,988,372.87
2022-04-01,apartment,989,364.5
2022-04-01,apartment,990,798.31
2022-04-01,apartment,991,617.5
2022-04-01,apartment,992,617.5
2022-04-01,apartment,993,779.19
2022-04-01,apartment,994,661.06
2022-04-01,apartment,995,890.74
2022-04-01,apartment,997,788.75
2022-04-01,apartment,999,779.19
2022-04-01,apartment,1000,1216.94
2022-04-01,apartment,1003,558.78
2022-04-01,apartment,1006,661.06
2022-04-01,apartment,1009,370.48
2022-04-01,apartment,1010,831.78
2022-04-01,apartment,1011,659.17
2022-04-01,apartment,1012,861.84
2022-04-01,apartment,1013,400.35
2022-04-01,apartment,1014,415.89
2022-04-01,apartment,1019,689.56
2022-04-01,apartment,1020,415.89
2022-04-01,apartment,1023,364.5
2022-04-01,apartment,1024,393.18
2022-04-01,apartment,1025,709.88
2022-04-01,apartment,1026,617.5
2022-04-01,apartment,1027,487.59
2022-04-01,apartment,1029,521.06
2022-04-01,apartment,1031,1023.4
2022-04-01,apartment,1034,1003.9
2022-04-01,apartment,1036,615.6
2022-04-01,apartment,1037,415.89
2022-04-01,apartment,1038,639.37
2022-04-01,apartment,1040,715.99
2022-04-01,apartment,1041,798.31
2022-04-01,apartment,1044,825.85
2022-04-01,apartment,1045,417.08
2022-04-01,apartment,1046,1018.39
2022-04-01,apartment,1047,705.1
2022-04-01,apartment,1050,608.03
2022-04-01,apartment,1051,354.94
2022-04-01,apartment,1052,1151.58
2022-04-01,apartment,1053,628.86
2022-04-01,apartment,1055,813.04
2022-04-01,apartment,1056,634.54
2022-04-01,apartment,1057,608.03
2022-04-01,apartment,1064,399.16
2022-04-01,apartment,1069,350.16
2022-04-01,apartment,1073,615.6
2022-04-01,apartment,1074,660.88
2022-04-01,apartment,1076,615.6
2022-04-01,apartment,1078,659.17
2022-04-01,apartment,1079,415.89
2022-04-01,apartment,1080,573.93
2022-04-01,apartment,1082,393.18
2022-04-01,apartment,1083,645.69
2022-04-01,apartment,1085,602.34
2022-04-01,apartment,1086,415.89
2022-04-01,apartment,1090,632.65
2022-04-01,apartment,1091,767.24
2022-04-01,apartment,1092,380.04
2022-04-01,apartment,1093,1132.16
2022-04-01,apartment,1095,973.6
2022-04-01,apartment,1096,415.89
2022-04-01,apartment,1098,415.89
2022-04-01,apartment,1100,784.18
2022-04-01,apartment,1101,1000.12
2022-04-01,apartment,1102,1499.25
2022-04-01,apartment,1103,798.31
2022-04-01,apartment,1104,729.0
2022-04-01,apartment,1105,700.32
2022-04-01,apartment,1108,388.4
2022-04-01,apartment,1109,776.8
2022-04-01,apartment,1110,634.54
2022-04-01,apartment,1111,415.89
2022-04-01,apartment,1112,734.93
2022-04-01,apartment,1114,740.95
2022-04-01,apartment,1120,362.11
2022-04-01,apartment,1122,589.18
2022-04-01,apartment,1126,388.4
2022-04-01,apartment,1127,818.59
2022-04-01,apartment,1129,615.6
2022-04-01,apartment,1131,988.75
2022-04-01,apartment,1132,700.32
2022-04-01,apartment,1133,748.12
2022-04-01,apartment,1134,400.35
2022-04-01,apartment,1135,831.78
2022-04-01,apartment,1137,784.18
2022-04-01,apartment,1139,831.78
2022-04-01,apartment,1141,617.5
2022-04-01,apartment,1142,396.77
2022-04-01,apartment,1143,659.17
2022-04-01,apartment,1144,487.59
2022-04-01,apartment,1145,393.18
2022-04-01,apartment,1146,570.14
2022-04-01,apartment,1149,786.36
2022-04-01,apartment,1150,788.75
2022-04-01,apartment,1152,396.77
2022-04-01,apartment,1153,625.07
2022-04-01,apartment,1154,786.36
2022-04-01,apartment,1156,362.11
2022-04-01,apartment,1157,615.6
2022-04-01,apartment,1158,632.65
2022-04-01,apartment,1159,933.82
2022-04-01,apartment,1160,415.89
2022-04-01,apartment,1163,602.34
2022-04-01,apartment,1164,463.69
2022-04-01,apartment,1165,583.4
2022-04-01,apartment,1167,829.64
2022-04-01,apartment,1170,926.81
2022-04-01,apartment,1173,813.04
2022-04-01,apartment,1176,989.53
2022-04-01,apartment,1177,374.06
2022-04-01,apartment,1178,788.75
2022-04-01,apartment,1179,362.11
2022-04-01,apartment,1180,615.6
2022-04-01,apartment,1181,358.52
2022-04-01,apartment,1182,351.35
2022-04-01,apartment,1183,973.6
2022-04-01,apartment,1184,784.18
2022-04-01,apartment,1185,659.17
2022-04-01,apartment,1186,463.69
2022-04-01,apartment,1187,388.4
2022-04-01,apartment,1188,659.17
2022-04-01,apartment,1189,352.55
2022-04-01,apartment,1191,350.16
2022-04-01,apartment,1194,362.11
2022-04-01,apartment,1195,602.34
2022-04-01,apartment,1198,556.88
2022-04-01,apartment,1199,1015.82
2022-04-01,apartment,1200,700.32
2022-04-01,apartment,1201,798.31
2022-04-01,apartment,1202,399.16
2022-04-01,apartment,1203,415.89
2022-04-01,apartment,1205,661.06
2022-04-01,apartment,1206,700.32
2022-04-01,apartment,1209,1029.79
2022-04-01,apartment,1210,463.69
2022-04-01,apartment,1214,760.07
2022-04-01,apartment,1215,354.94
2022-04-01,apartment,1216,573.93
2022-04-01,apartment,1218,748.12
2022-04-01,apartment,1221,614.27
2022-04-01,apartment,1223,451.74
2022-04-01,apartment,1224,1047.47
2022-04-01,apartment,1227,729.0
2022-04-01,apartment,1230,831.78
2022-04-01,apartment,1231,608.03
2022-04-01,apartment,1233,767.24
2022-04-01,apartment,1235,369.28
2022-04-01,apartment,1238,776.8
2022-04-01,apartment,1239,562.57
2022-04-01,apartment,1242,1076.66
2022-04-01,apartment,1243,554.99
2022-04-01,apartment,1244,632.65
2022-04-01,apartment,1245,798.31
2022-04-01,apartment,1246,1209.85
2022-04-01,apartment,1247,579.61
2022-04-01,apartment,1249,380.04
2022-04-01,apartment,1250,358.52
2022-04-01,apartment,1251,634.54
2022-04-01,apartment,1254,562.57
2022-04-01,apartment,1256,660.88
2022-04-01,apartment,1257,494.76
2022-04-01,apartment,1260,760.07
2022-04-01,apartment,1264,350.16
2022-04-01,apartment,1265,724.22
2022-04-01,apartment,1268,695.16
2022-04-01,apartment,1269,587.19
2022-04-01,apartment,1272,362.11
2022-04-01,apartment,1273,521.06
2022-04-01,apartment,1275,393.18
2022-04-01,apartment,1276,724.22
2022-04-01,apartment,1278,659.17
2022-04-01,apartment,1352,409.39
2022-04-01,apartment,1358,853.44
2022-04-01,apartment,1361,768.11
2022-04-01,apartment,1363,413.72
2022-04-01,apartment,1365,853.44
2022-04-01,apartment,1366,426.72
2022-04-01,apartment,1371,1347.85
2022-04-01,apartment,1374,472.21
2022-04-01,apartment,1376,727.8
2022-04-01,apartment,1378,1311.59
2022-04-01,apartment,1379,1135.03
2022-04-01,apartment,1380,872.02
2022-04-01,apartment,1384,1357.96
2022-04-01,apartment,1386,724.4
2022-04-01,apartment,1388,374.73
2022-04-01,apartment,1389,652.3
2022-04-01,apartment,1390,617.97
2022-04-01,apartment,1393,872.21
2022-04-01,apartment,1394,933.82
2022-04-01,apartment,1395,450.03
2022-04-01,apartment,1397,573.34
2022-04-01,apartment,1400,1277.77
2022-04-01,apartment,1404,374.73
2022-04-01,apartment,1405,701.81
2022-04-01,apartment,1407,437.92
2022-04-01,apartment,1409,435.38
2022-04-01,apartment,1411,677.38
2022-04-01,apartment,1412,824.84
2022-04-01,apartment,1414,768.11
2022-04-01,apartment,1415,694.08
2022-04-01,apartment,1416,440.99
2022-04-01,apartment,1419,479.13
2022-04-01,apartment,1420,392.12
2022-04-01,apartment,1426,749.47
2022-04-01,apartment,1427,1277.77
2022-04-01,apartment,1428,829.72
2022-04-01,apartment,1429,749.5
2022-04-01,apartment,1431,802.77
2022-04-01,apartment,1432,841.13
2022-04-01,apartment,1434,748.43
2022-04-01,apartment,1435,465.71
2022-04-01,apartment,1436,413.72
2022-04-01,apartment,1438,631.9
2022-04-01,apartment,1440,753.8
2022-04-01,apartment,1443,427.38
2022-04-01,apartment,1444,409.39
2022-04-01,apartment,1448,710.48
2022-04-01,apartment,1449,694.08
2022-04-01,apartment,1450,589.18
2022-04-01,apartment,1454,426.72
2022-04-01,apartment,1456,926.95
2022-04-01,apartment,1458,772.46
2022-04-01,apartment,1459,389.9
2022-04-01,apartment,1462,759.4
2022-04-01,apartment,1464,444.61
2022-04-01,apartment,1465,694.08
2022-04-01,apartment,1469,841.13
2022-04-01,apartment,1470,839.93
2022-04-01,apartment,1471,576.77
2022-04-01,apartment,1472,440.99
2022-04-01,apartment,1473,759.4
2022-04-01,apartment,1475,723.47
2022-04-01,apartment,1478,432.88
2022-04-01,apartment,1481,398.69
2022-04-01,apartment,1484,374.73
2022-04-01,apartment,1485,398.69
2022-04-01,apartment,1486,676.33
2022-04-01,apartment,1487,604.34
2022-04-01,apartment,1489,661.87
2022-04-01,apartment,1490,772.46
2022-04-01,apartment,1496,361.74
2022-04-01,apartment,1497,720.96
2022-04-01,apartment,1499,779.79
2022-04-01,apartment,1501,841.13
2022-04-01,apartment,1502,802.77
2022-04-01,apartment,1503,597.37
2022-04-01,apartment,1505,676.33
2022-04-01,apartment,1510,404.6
2022-04-01,apartment,1513,933.82
2022-04-01,apartment,1514,587.01
2022-04-01,apartment,1515,426.72
2022-04-01,apartment,1517,641.28
2022-04-01,apartment,1519,759.4
2022-04-01,apartment,1520,872.02
2022-04-01,apartment,1523,854.76
2022-04-01,apartment,1524,772.46
2022-04-01,apartment,1528,772.46
2022-04-01,apartment,1530,829.72
2022-04-01,apartment,1531,738.13
2022-04-01,apartment,1534,374.73
2022-04-01,apartment,1537,404.6
2022-04-01,apartment,1538,472.21
2022-04-01,apartment,1540,895.3
2022-04-01,apartment,1541,376.9
2022-04-01,apartment,1544,854.76
2022-04-01,apartment,1545,589.18
2022-04-01,apartment,1546,727.8
2022-04-01,apartment,1547,865.76
2022-04-01,apartment,1549,759.4
2022-04-01,apartment,1553,411.56
2022-04-01,apartment,1554,661.87
2022-04-01,apartment,1555,749.47
2022-04-01,apartment,1557,657.54
2022-04-01,apartment,1558,472.21
2022-04-01,apartment,1560,803.09
2022-04-01,apartment,1561,584.84
2022-04-01,apartment,1563,617.97
2022-04-01,apartment,1564,786.19
2022-04-01,apartment,1566,676.33
2022-04-01,apartment,1569,786.19
2022-04-01,apartment,1573,784.25
2022-04-01,apartment,1574,823.11
2022-04-01,apartment,1576,872.21
2022-04-01,apartment,1578,398.69
2022-04-01,apartment,1579,574.01
2022-04-01,apartment,1581,724.4
2022-04-01,apartment,1582,556.17
2022-04-01,apartment,1583,870.77
2022-04-01,apartment,1585,383.6
2022-04-01,apartment,1586,677.38
2022-04-01,apartment,1587,827.44
2022-04-01,apartment,1588,676.33
2022-04-01,apartment,1589,631.9
2022-04-01,apartment,1591,600.8
2022-04-01,apartment,1593,411.56
2022-04-01,apartment,1596,820.35
2022-04-01,apartment,1597,713.29
2022-04-01,apartment,1599,580.2
2022-04-01,apartment,1600,383.6
2022-04-01,apartment,1602,772.46
2022-04-01,apartment,1606,820.35
2022-04-01,apartment,1607,686.1
2022-04-01,apartment,1608,703.8
2022-04-01,apartment,1609,435.38
2022-04-01,apartment,1612,465.71
2022-04-01,apartment,1616,839.93
2022-04-01,apartment,1617,686.1
2022-04-01,apartment,1618,621.5
2022-04-01,apartment,1620,506.49
2022-04-01,apartment,1621,657.54
2022-04-01,apartment,1623,738.13
2022-04-01,apartment,1625,784.12
2022-04-01,apartment,1627,759.4
2022-04-01,apartment,1629,392.06
2022-04-01,apartment,1631,749.5
2022-04-01,apartment,1632,749.47
2022-04-01,apartment,1633,472.21
2022-04-01,apartment,1634,844.95
2022-04-01,apartment,1637,677.38
2022-04-01,apartment,1638,759.4
2022-04-01,apartment,1640,392.06
2022-04-01,apartment,1641,677.38
2022-04-01,apartment,1643,641.28
2022-04-01,apartment,1644,621.4
2022-04-01,apartment,1645,787.9
2022-04-01,apartment,1652,713.29
2022-04-01,apartment,1656,824.84
2022-04-01,apartment,1657,676.33
2022-04-01,apartment,1659,758.13
2022-04-01,apartment,1660,870.77
2022-04-01,apartment,1661,567.51
2022-04-01,apartment,1664,621.4
2022-04-01,apartment,1666,839.93
2022-04-01,apartment,1667,732.14
2022-04-01,apartment,1670,839.93
2022-04-01,apartment,1672,841.13
2022-04-01,apartment,1674,853.44
2022-04-01,apartment,1675,383.6
2022-04-01,apartment,1677,738.13
