dt_week_of_year,employerid,ts,employees_count
13.0,1735,2022-04-01,4.0
13.0,1736,2022-04-01,5.0
13.0,1737,2022-04-01,6.0
13.0,1738,2022-04-01,2.0
13.0,1739,2022-04-01,2.0
13.0,1740,2022-04-01,3.0
13.0,1741,2022-04-01,1.0
13.0,1742,2022-04-01,5.0
13.0,1743,2022-04-01,3.0
13.0,1744,2022-04-01,3.0
13.0,1745,2022-04-01,6.0
13.0,1746,2022-04-01,4.0
13.0,1747,2022-04-01,1.0
13.0,1748,2022-04-01,5.0
13.0,1749,2022-04-01,6.0
13.0,1750,2022-04-01,2.0
13.0,1751,2022-04-01,1.0
13.0,1752,2022-04-01,2.0
13.0,1753,2022-04-01,1.0
13.0,1754,2022-04-01,1.0
13.0,1755,2022-04-01,3.0
13.0,1756,2022-04-01,2.0
13.0,1757,2022-04-01,4.0
13.0,1758,2022-04-01,1.0
13.0,1759,2022-04-01,7.0
13.0,1760,2022-04-01,3.0
13.0,1761,2022-04-01,3.0
13.0,1762,2022-04-01,1.0
13.0,1763,2022-04-01,6.0
13.0,1764,2022-04-01,3.0
13.0,1765,2022-04-01,5.0
13.0,1766,2022-04-01,4.0
13.0,1767,2022-04-01,4.0
13.0,1768,2022-04-01,5.0
13.0,1769,2022-04-01,1.0
13.0,1770,2022-04-01,5.0
13.0,1771,2022-04-01,8.0
13.0,1772,2022-04-01,2.0
13.0,1773,2022-04-01,2.0
13.0,1774,2022-04-01,2.0
13.0,1775,2022-04-01,1.0
13.0,1776,2022-04-01,3.0
13.0,1777,2022-04-01,1.0
13.0,1778,2022-04-01,2.0
13.0,1779,2022-04-01,4.0
13.0,1780,2022-04-01,2.0
13.0,1781,2022-04-01,3.0
13.0,1782,2022-04-01,5.0
13.0,1783,2022-04-01,1.0
13.0,1784,2022-04-01,3.0
13.0,1785,2022-04-01,3.0
13.0,1786,2022-04-01,8.0
13.0,1787,2022-04-01,2.0
13.0,1788,2022-04-01,5.0
13.0,1789,2022-04-01,6.0
13.0,1790,2022-04-01,6.0
13.0,1791,2022-04-01,1.0
13.0,1792,2022-04-01,6.0
13.0,1793,2022-04-01,6.0
13.0,1794,2022-04-01,2.0
13.0,1795,2022-04-01,6.0
13.0,1796,2022-04-01,5.0
13.0,1797,2022-04-01,1.0
14.0,379,2022-04-04,1.0
14.0,381,2022-04-04,4.0
14.0,382,2022-04-04,4.0
14.0,383,2022-04-04,6.0
14.0,384,2022-04-04,3.0
14.0,385,2022-04-04,5.0
14.0,386,2022-04-04,5.0
14.0,387,2022-04-04,2.0
14.0,388,2022-04-04,5.0
14.0,389,2022-04-04,3.0
14.0,390,2022-04-04,3.0
14.0,391,2022-04-04,2.0
14.0,392,2022-04-04,3.0
14.0,393,2022-04-04,4.0
14.0,394,2022-04-04,1.0
14.0,395,2022-04-04,3.0
14.0,396,2022-04-04,7.0
14.0,397,2022-04-04,5.0
14.0,398,2022-04-04,4.0
14.0,399,2022-04-04,5.0
14.0,400,2022-04-04,2.0
14.0,401,2022-04-04,5.0
14.0,402,2022-04-04,4.0
14.0,403,2022-04-04,6.0
14.0,404,2022-04-04,1.0
14.0,405,2022-04-04,5.0
14.0,406,2022-04-04,6.0
14.0,407,2022-04-04,4.0
14.0,408,2022-04-04,6.0
14.0,409,2022-04-04,1.0
14.0,410,2022-04-04,4.0
14.0,411,2022-04-04,2.0
14.0,412,2022-04-04,2.0
14.0,413,2022-04-04,5.0
14.0,414,2022-04-04,5.0
14.0,415,2022-04-04,5.0
14.0,416,2022-04-04,4.0
14.0,417,2022-04-04,3.0
14.0,418,2022-04-04,4.0
14.0,419,2022-04-04,2.0
14.0,421,2022-04-04,5.0
14.0,422,2022-04-04,4.0
14.0,423,2022-04-04,5.0
14.0,424,2022-04-04,5.0
14.0,425,2022-04-04,4.0
14.0,426,2022-04-04,4.0
14.0,427,2022-04-04,5.0
14.0,428,2022-04-04,3.0
14.0,429,2022-04-04,5.0
14.0,430,2022-04-04,1.0
14.0,431,2022-04-04,1.0
14.0,432,2022-04-04,4.0
14.0,433,2022-04-04,1.0
14.0,434,2022-04-04,5.0
14.0,435,2022-04-04,5.0
14.0,436,2022-04-04,3.0
14.0,437,2022-04-04,7.0
14.0,438,2022-04-04,5.0
14.0,439,2022-04-04,6.0
14.0,440,2022-04-04,5.0
14.0,441,2022-04-04,5.0
14.0,829,2022-04-04,1.0
14.0,830,2022-04-04,4.0
14.0,831,2022-04-04,3.0
14.0,833,2022-04-04,3.0
14.0,834,2022-04-04,2.0
14.0,836,2022-04-04,2.0
14.0,837,2022-04-04,6.0
14.0,838,2022-04-04,4.0
14.0,839,2022-04-04,1.0
14.0,840,2022-04-04,3.0
14.0,841,2022-04-04,5.0
14.0,842,2022-04-04,3.0
14.0,843,2022-04-04,4.0
14.0,844,2022-04-04,1.0
14.0,845,2022-04-04,4.0
14.0,846,2022-04-04,1.0
14.0,847,2022-04-04,5.0
14.0,848,2022-04-04,2.0
14.0,849,2022-04-04,2.0
14.0,850,2022-04-04,4.0
14.0,851,2022-04-04,3.0
14.0,852,2022-04-04,4.0
14.0,853,2022-04-04,4.0
14.0,854,2022-04-04,3.0
14.0,855,2022-04-04,5.0
14.0,856,2022-04-04,3.0
14.0,857,2022-04-04,5.0
14.0,859,2022-04-04,5.0
14.0,860,2022-04-04,1.0
14.0,861,2022-04-04,2.0
14.0,862,2022-04-04,3.0
14.0,863,2022-04-04,4.0
14.0,864,2022-04-04,3.0
14.0,865,2022-04-04,5.0
14.0,866,2022-04-04,2.0
14.0,867,2022-04-04,5.0
14.0,868,2022-04-04,6.0
14.0,869,2022-04-04,4.0
14.0,870,2022-04-04,4.0
14.0,871,2022-04-04,5.0
14.0,872,2022-04-04,3.0
14.0,873,2022-04-04,6.0
14.0,874,2022-04-04,6.0
14.0,875,2022-04-04,1.0
14.0,876,2022-04-04,7.0
14.0,877,2022-04-04,8.0
14.0,878,2022-04-04,6.0
14.0,879,2022-04-04,2.0
14.0,880,2022-04-04,3.0
14.0,881,2022-04-04,2.0
14.0,882,2022-04-04,2.0
14.0,883,2022-04-04,8.0
14.0,884,2022-04-04,1.0
14.0,885,2022-04-04,5.0
14.0,886,2022-04-04,3.0
14.0,887,2022-04-04,5.0
14.0,888,2022-04-04,3.0
14.0,889,2022-04-04,2.0
14.0,890,2022-04-04,1.0
14.0,891,2022-04-04,5.0
14.0,1279,2022-04-04,3.0
14.0,1280,2022-04-04,2.0
14.0,1281,2022-04-04,4.285714285714286
14.0,1282,2022-04-04,3.0
14.0,1283,2022-04-04,6.0
14.0,1284,2022-04-04,4.0
14.0,1285,2022-04-04,6.0
14.0,1286,2022-04-04,5.0
14.0,1287,2022-04-04,4.0
14.0,1288,2022-04-04,3.0
14.0,1289,2022-04-04,4.0
14.0,1290,2022-04-04,2.0
14.0,1291,2022-04-04,5.0
14.0,1292,2022-04-04,2.0
14.0,1293,2022-04-04,1.0
14.0,1294,2022-04-04,1.0
14.0,1295,2022-04-04,5.0
14.0,1296,2022-04-04,3.0
14.0,1297,2022-04-04,5.285714285714286
14.0,1298,2022-04-04,6.0
14.0,1299,2022-04-04,6.0
14.0,1300,2022-04-04,4.0
14.0,1301,2022-04-04,1.0
14.0,1302,2022-04-04,3.0
14.0,1303,2022-04-04,3.0
14.0,1304,2022-04-04,4.0
14.0,1305,2022-04-04,2.142857142857143
14.0,1306,2022-04-04,6.0
14.0,1307,2022-04-04,5.0
14.0,1308,2022-04-04,2.0
14.0,1309,2022-04-04,3.0
14.0,1310,2022-04-04,2.0
14.0,1311,2022-04-04,5.0
14.0,1312,2022-04-04,1.0
14.0,1313,2022-04-04,4.0
14.0,1314,2022-04-04,3.0
14.0,1315,2022-04-04,7.0
14.0,1316,2022-04-04,3.0
14.0,1317,2022-04-04,3.0
14.0,1318,2022-04-04,3.0
14.0,1319,2022-04-04,3.0
14.0,1320,2022-04-04,2.0
14.0,1321,2022-04-04,1.0
14.0,1322,2022-04-04,2.0
14.0,1323,2022-04-04,6.0
14.0,1324,2022-04-04,2.0
14.0,1325,2022-04-04,3.0
14.0,1326,2022-04-04,5.0
14.0,1327,2022-04-04,1.0
14.0,1328,2022-04-04,2.0
14.0,1329,2022-04-04,2.0
14.0,1330,2022-04-04,6.0
14.0,1331,2022-04-04,2.0
14.0,1332,2022-04-04,1.0
14.0,1333,2022-04-04,1.0
14.0,1334,2022-04-04,3.0
14.0,1335,2022-04-04,1.0
14.0,1336,2022-04-04,2.0
14.0,1337,2022-04-04,4.0
14.0,1338,2022-04-04,2.0
14.0,1339,2022-04-04,4.0
14.0,1340,2022-04-04,3.0
14.0,1341,2022-04-04,5.0
14.0,1734,2022-04-04,3.0
14.0,1735,2022-04-04,4.0
14.0,1736,2022-04-04,5.0
14.0,1737,2022-04-04,6.0
14.0,1738,2022-04-04,2.0
14.0,1739,2022-04-04,2.0
14.0,1740,2022-04-04,3.0
14.0,1741,2022-04-04,1.0
14.0,1742,2022-04-04,5.0
14.0,1743,2022-04-04,3.0
14.0,1744,2022-04-04,3.0
14.0,1745,2022-04-04,6.0
14.0,1746,2022-04-04,4.0
14.0,1747,2022-04-04,1.0
14.0,1748,2022-04-04,5.0
14.0,1749,2022-04-04,6.0
14.0,1750,2022-04-04,2.0
14.0,1751,2022-04-04,1.0
14.0,1752,2022-04-04,2.0
14.0,1753,2022-04-04,1.0
14.0,1754,2022-04-04,1.0
14.0,1755,2022-04-04,3.0
14.0,1756,2022-04-04,2.0
14.0,1757,2022-04-04,4.0
14.0,1758,2022-04-04,1.0
14.0,1759,2022-04-04,7.0
14.0,1760,2022-04-04,3.0
14.0,1761,2022-04-04,3.0
14.0,1762,2022-04-04,1.0
14.0,1763,2022-04-04,6.0
14.0,1764,2022-04-04,3.0
14.0,1765,2022-04-04,5.0
14.0,1766,2022-04-04,4.0
14.0,1767,2022-04-04,4.0
14.0,1768,2022-04-04,5.0
14.0,1769,2022-04-04,1.0
14.0,1770,2022-04-04,5.0
14.0,1771,2022-04-04,8.0
14.0,1772,2022-04-04,2.0
14.0,1773,2022-04-04,2.0
14.0,1774,2022-04-04,2.0
14.0,1775,2022-04-04,1.0
14.0,1776,2022-04-04,3.0
14.0,1777,2022-04-04,1.0
14.0,1778,2022-04-04,2.0
14.0,1779,2022-04-04,4.0
14.0,1780,2022-04-04,2.0
14.0,1781,2022-04-04,3.0
14.0,1782,2022-04-04,5.0
14.0,1783,2022-04-04,1.0
14.0,1784,2022-04-04,3.0
14.0,1785,2022-04-04,3.0
14.0,1786,2022-04-04,8.0
14.0,1787,2022-04-04,2.0
14.0,1788,2022-04-04,5.0
14.0,1789,2022-04-04,6.0
14.0,1790,2022-04-04,6.0
14.0,1791,2022-04-04,1.0
14.0,1792,2022-04-04,6.0
14.0,1793,2022-04-04,6.0
14.0,1794,2022-04-04,2.0
14.0,1795,2022-04-04,6.0
14.0,1796,2022-04-04,5.0
14.0,1797,2022-04-04,1.0
15.0,379,2022-04-11,1.0
15.0,381,2022-04-11,4.0
15.0,382,2022-04-11,4.0
15.0,383,2022-04-11,6.0
15.0,384,2022-04-11,3.0
15.0,385,2022-04-11,5.0
15.0,386,2022-04-11,5.0
15.0,387,2022-04-11,2.0
15.0,388,2022-04-11,5.0
15.0,389,2022-04-11,3.0
15.0,390,2022-04-11,3.0
15.0,391,2022-04-11,2.0
15.0,392,2022-04-11,3.0
15.0,393,2022-04-11,4.0
15.0,394,2022-04-11,1.0
15.0,395,2022-04-11,3.0
15.0,396,2022-04-11,7.0
15.0,397,2022-04-11,6.0
15.0,398,2022-04-11,4.0
15.0,399,2022-04-11,5.0
15.0,400,2022-04-11,2.0
15.0,401,2022-04-11,5.0
15.0,402,2022-04-11,4.0
15.0,403,2022-04-11,6.0
15.0,404,2022-04-11,1.0
15.0,405,2022-04-11,5.0
15.0,406,2022-04-11,6.0
15.0,407,2022-04-11,4.0
15.0,408,2022-04-11,6.0
15.0,409,2022-04-11,1.0
15.0,410,2022-04-11,4.0
15.0,411,2022-04-11,2.0
15.0,412,2022-04-11,2.0
15.0,413,2022-04-11,5.0
15.0,414,2022-04-11,5.0
15.0,415,2022-04-11,5.0
15.0,416,2022-04-11,4.0
15.0,417,2022-04-11,3.0
15.0,418,2022-04-11,4.0
15.0,419,2022-04-11,2.0
15.0,421,2022-04-11,5.0
15.0,422,2022-04-11,4.0
15.0,423,2022-04-11,5.0
15.0,424,2022-04-11,5.0
15.0,425,2022-04-11,4.0
15.0,426,2022-04-11,4.0
15.0,427,2022-04-11,5.0
15.0,428,2022-04-11,3.0
15.0,429,2022-04-11,5.0
15.0,430,2022-04-11,1.0
15.0,431,2022-04-11,1.0
15.0,432,2022-04-11,4.0
15.0,433,2022-04-11,1.0
15.0,434,2022-04-11,5.0
15.0,435,2022-04-11,5.0
15.0,436,2022-04-11,3.0
15.0,437,2022-04-11,7.0
15.0,438,2022-04-11,5.0
15.0,439,2022-04-11,6.0
15.0,440,2022-04-11,5.0
15.0,441,2022-04-11,5.0
15.0,829,2022-04-11,1.0
15.0,830,2022-04-11,4.0
15.0,831,2022-04-11,3.0
15.0,833,2022-04-11,3.0
15.0,834,2022-04-11,2.0
15.0,836,2022-04-11,2.0
15.0,837,2022-04-11,6.0
15.0,838,2022-04-11,4.0
15.0,839,2022-04-11,1.0
15.0,840,2022-04-11,3.0
15.0,841,2022-04-11,5.0
15.0,842,2022-04-11,3.0
15.0,843,2022-04-11,4.0
15.0,844,2022-04-11,1.0
15.0,845,2022-04-11,4.0
15.0,846,2022-04-11,1.0
15.0,847,2022-04-11,5.0
15.0,848,2022-04-11,1.1428571428571428
15.0,849,2022-04-11,2.0
15.0,850,2022-04-11,4.0
15.0,851,2022-04-11,3.0
15.0,852,2022-04-11,4.0
15.0,853,2022-04-11,4.0
15.0,854,2022-04-11,3.0
15.0,855,2022-04-11,5.0
15.0,856,2022-04-11,3.0
15.0,857,2022-04-11,5.0
15.0,859,2022-04-11,5.0
15.0,860,2022-04-11,1.0
15.0,861,2022-04-11,2.0
15.0,862,2022-04-11,3.0
15.0,863,2022-04-11,4.0
15.0,864,2022-04-11,3.0
15.0,865,2022-04-11,5.142857142857143
15.0,866,2022-04-11,2.0
15.0,867,2022-04-11,5.0
15.0,868,2022-04-11,6.0
15.0,869,2022-04-11,4.0
15.0,870,2022-04-11,4.0
15.0,871,2022-04-11,5.0
15.0,872,2022-04-11,3.0
15.0,873,2022-04-11,6.0
15.0,874,2022-04-11,6.0
15.0,875,2022-04-11,1.0
15.0,876,2022-04-11,7.142857142857143
15.0,877,2022-04-11,8.0
15.0,878,2022-04-11,6.0
15.0,879,2022-04-11,2.0
15.0,880,2022-04-11,3.142857142857143
15.0,881,2022-04-11,2.0
15.0,882,2022-04-11,2.0
15.0,883,2022-04-11,8.0
15.0,884,2022-04-11,1.0
15.0,885,2022-04-11,5.0
15.0,886,2022-04-11,3.0
15.0,887,2022-04-11,5.0
15.0,888,2022-04-11,3.142857142857143
15.0,889,2022-04-11,2.0
15.0,890,2022-04-11,1.0
15.0,891,2022-04-11,5.0
15.0,1279,2022-04-11,3.0
15.0,1280,2022-04-11,2.0
15.0,1281,2022-04-11,4.0
15.0,1282,2022-04-11,3.0
15.0,1283,2022-04-11,6.0
15.0,1284,2022-04-11,4.0
15.0,1285,2022-04-11,6.0
15.0,1286,2022-04-11,5.0
15.0,1287,2022-04-11,4.0
15.0,1288,2022-04-11,3.0
15.0,1289,2022-04-11,4.0
15.0,1290,2022-04-11,2.0
15.0,1291,2022-04-11,5.0
15.0,1292,2022-04-11,2.0
15.0,1293,2022-04-11,1.0
15.0,1294,2022-04-11,1.0
15.0,1295,2022-04-11,5.0
15.0,1296,2022-04-11,3.0
15.0,1297,2022-04-11,5.0
15.0,1298,2022-04-11,6.0
15.0,1299,2022-04-11,6.0
15.0,1300,2022-04-11,4.0
15.0,1301,2022-04-11,1.0
15.0,1302,2022-04-11,3.0
15.0,1303,2022-04-11,3.0
15.0,1304,2022-04-11,4.0
15.0,1305,2022-04-11,2.0
15.0,1306,2022-04-11,6.0
15.0,1307,2022-04-11,5.0
15.0,1308,2022-04-11,2.0
15.0,1309,2022-04-11,3.0
15.0,1310,2022-04-11,2.0
15.0,1311,2022-04-11,5.0
15.0,1312,2022-04-11,1.0
15.0,1313,2022-04-11,4.0
15.0,1314,2022-04-11,3.0
15.0,1315,2022-04-11,7.0
15.0,1316,2022-04-11,3.0
15.0,1317,2022-04-11,3.0
15.0,1318,2022-04-11,3.0
15.0,1319,2022-04-11,3.0
15.0,1320,2022-04-11,2.0
15.0,1321,2022-04-11,1.0
15.0,1322,2022-04-11,2.0
15.0,1323,2022-04-11,6.0
15.0,1324,2022-04-11,2.0
15.0,1325,2022-04-11,3.0
15.0,1326,2022-04-11,5.0
15.0,1327,2022-04-11,1.0
15.0,1328,2022-04-11,2.0
15.0,1329,2022-04-11,2.0
15.0,1330,2022-04-11,6.0
15.0,1331,2022-04-11,2.0
15.0,1332,2022-04-11,1.0
15.0,1333,2022-04-11,1.0
15.0,1334,2022-04-11,3.0
15.0,1335,2022-04-11,1.0
15.0,1336,2022-04-11,2.0
15.0,1337,2022-04-11,4.0
15.0,1338,2022-04-11,2.0
15.0,1339,2022-04-11,4.0
15.0,1340,2022-04-11,3.0
15.0,1341,2022-04-11,5.0
15.0,1734,2022-04-11,3.0
15.0,1735,2022-04-11,4.0
15.0,1736,2022-04-11,5.0
15.0,1737,2022-04-11,6.0
15.0,1738,2022-04-11,2.0
15.0,1739,2022-04-11,2.0
15.0,1740,2022-04-11,3.0
15.0,1741,2022-04-11,1.0
15.0,1742,2022-04-11,5.0
15.0,1743,2022-04-11,3.0
15.0,1744,2022-04-11,3.0
15.0,1745,2022-04-11,6.0
15.0,1746,2022-04-11,4.0
15.0,1747,2022-04-11,1.0
15.0,1748,2022-04-11,5.0
15.0,1749,2022-04-11,6.0
15.0,1750,2022-04-11,2.0
15.0,1751,2022-04-11,1.0
15.0,1752,2022-04-11,2.0
15.0,1753,2022-04-11,1.0
15.0,1754,2022-04-11,1.0
15.0,1755,2022-04-11,3.0
15.0,1756,2022-04-11,2.0
15.0,1757,2022-04-11,4.0
15.0,1758,2022-04-11,1.0
15.0,1759,2022-04-11,7.0
15.0,1760,2022-04-11,3.0
15.0,1761,2022-04-11,3.0
15.0,1762,2022-04-11,1.0
15.0,1763,2022-04-11,6.0
15.0,1764,2022-04-11,3.0
15.0,1765,2022-04-11,5.0
15.0,1766,2022-04-11,4.0
15.0,1767,2022-04-11,4.0
15.0,1768,2022-04-11,5.0
15.0,1769,2022-04-11,1.0
15.0,1770,2022-04-11,5.0
15.0,1771,2022-04-11,8.0
15.0,1772,2022-04-11,2.0
15.0,1773,2022-04-11,2.0
15.0,1774,2022-04-11,2.0
15.0,1775,2022-04-11,1.0
15.0,1776,2022-04-11,3.0
15.0,1777,2022-04-11,1.0
15.0,1778,2022-04-11,2.0
15.0,1779,2022-04-11,4.0
15.0,1780,2022-04-11,2.0
15.0,1781,2022-04-11,3.0
15.0,1782,2022-04-11,5.0
15.0,1783,2022-04-11,1.0
15.0,1784,2022-04-11,3.0
15.0,1785,2022-04-11,3.0
15.0,1786,2022-04-11,8.0
15.0,1787,2022-04-11,2.0
15.0,1788,2022-04-11,5.0
15.0,1789,2022-04-11,6.0
15.0,1790,2022-04-11,6.0
15.0,1791,2022-04-11,1.0
15.0,1792,2022-04-11,6.0
15.0,1793,2022-04-11,6.0
15.0,1794,2022-04-11,2.0
15.0,1795,2022-04-11,6.0
15.0,1796,2022-04-11,5.0
15.0,1797,2022-04-11,1.0
16.0,379,2022-04-18,1.0
16.0,381,2022-04-18,4.0
16.0,382,2022-04-18,4.0
16.0,383,2022-04-18,6.0
16.0,384,2022-04-18,3.0
16.0,385,2022-04-18,5.0
16.0,386,2022-04-18,5.0
16.0,387,2022-04-18,2.0
16.0,388,2022-04-18,5.0
16.0,389,2022-04-18,3.0
16.0,390,2022-04-18,3.0
16.0,391,2022-04-18,2.0
16.0,392,2022-04-18,3.0
16.0,393,2022-04-18,4.0
16.0,394,2022-04-18,1.0
16.0,395,2022-04-18,3.0
16.0,396,2022-04-18,7.0
16.0,397,2022-04-18,6.0
16.0,398,2022-04-18,4.0
16.0,399,2022-04-18,5.0
16.0,400,2022-04-18,2.0
16.0,401,2022-04-18,5.0
16.0,402,2022-04-18,4.0
16.0,403,2022-04-18,6.0
16.0,404,2022-04-18,1.0
16.0,405,2022-04-18,5.0
16.0,406,2022-04-18,6.0
16.0,407,2022-04-18,4.0
16.0,408,2022-04-18,6.0
16.0,409,2022-04-18,1.0
16.0,410,2022-04-18,4.0
16.0,411,2022-04-18,2.0
16.0,412,2022-04-18,2.0
16.0,413,2022-04-18,5.0
16.0,414,2022-04-18,5.0
16.0,415,2022-04-18,5.0
16.0,416,2022-04-18,4.0
16.0,417,2022-04-18,3.0
16.0,418,2022-04-18,4.0
16.0,419,2022-04-18,2.0
16.0,421,2022-04-18,5.0
16.0,422,2022-04-18,4.0
16.0,423,2022-04-18,5.0
16.0,424,2022-04-18,5.0
16.0,425,2022-04-18,4.0
16.0,426,2022-04-18,4.0
16.0,427,2022-04-18,5.0
16.0,428,2022-04-18,3.0
16.0,429,2022-04-18,5.0
16.0,430,2022-04-18,1.0
16.0,431,2022-04-18,1.0
