,dt,venuetype,venueid,revenue,Unnamed: 4
49,2022-08-03,Pub,894,467.82598152,
50,2023-03-03,Pub,1798,577.2675605,
51,2022-07-28,Pub,1800,449.10120112,
52,2023-03-20,Pub,1344,1041.529315,
53,2022-07-08,Pub,1342,1216.04314158,
54,2022-05-31,Pub,1344,874.884624600001,
55,2022-08-19,Pub,1800,847.16817484,
56,2022-07-04,Pub,444,276.79973838,
57,2022-06-13,Pub,1799,441.737810565,
58,2022-09-08,Pub,1800,612.4107288,
59,2022-08-08,Pub,1798,738.90247744,
60,2022-03-12,Pub,1800,3582.60276348001,
61,2023-05-02,Pub,1799,277.022016795,
62,2022-07-31,Pub,1342,3846.08993616001,
63,2023-05-21,Pub,1343,2147.09437572,
64,2022-11-09,Pub,1342,1117.06288587,
65,2023-02-25,Pub,893,1335.6425385,
66,2022-04-20,Pub,1800,714.479183600001,
67,2022-10-10,Pub,1344,1239.41988485,
68,2023-05-23,Pub,443,237.44510943,
69,2022-06-25,Pub,1344,3301.64792855,
70,2023-01-28,Pub,1344,2905.86678885,
71,2022-06-10,Pub,443,308.03689872,
72,2022-05-28,Pub,893,1706.65435475,
73,2023-04-02,Pub,1800,1714.75004064,
74,2022-07-08,Pub,1800,612.4107288,
75,2022-03-29,Pub,1798,981.35485285,
76,2023-03-19,Pub,1343,1505.07105749,
77,2022-06-24,Pub,442,356.087432225,
78,2022-11-22,Pub,892,430.78749166,
79,2022-11-27,Pub,1798,1269.9886331,
80,2022-11-30,Pub,443,231.02767404,
81,2023-01-18,Pub,1799,351.892832145,
82,2022-03-23,Pub,443,673.83071595,
83,2023-01-17,Pub,893,563.9379607,
84,2023-03-08,Pub,1344,1010.28343555,
85,2022-05-07,Pub,1800,1745.37057708,
86,2023-05-02,Pub,1342,933.242410979999,
87,2022-08-02,Pub,1344,1458.141041,
88,2022-07-26,Pub,894,320.09146104,
89,2022-04-14,Pub,443,423.55073574,
90,2022-10-29,Pub,1344,3603.6914299,
91,2022-09-21,Pub,444,377.4541887,
92,2023-05-22,Pub,443,308.03689872,
93,2023-01-07,Pub,1344,2937.1126683,
94,2022-08-07,Pub,892,861.57498332,
95,2023-03-25,Pub,1800,1459.57890364,
96,2022-10-31,Pub,1344,1333.1575232,
97,2022-10-26,Pub,1799,284.50909833,
98,2022-06-22,Pub,1799,486.660299775,
99,2022-10-31,Pub,893,474.8951248,
100,2023-05-22,Pub,444,339.70876983,
101,2022-12-20,Pub,1798,600.35826292,
102,2023-05-21,Pub,1344,3280.81734224999,
103,2022-11-05,Pub,892,1059.50437138,
104,2023-03-03,Pub,892,279.42972432,
105,2022-03-03,Pub,892,1513.5776734,
106,2022-06-05,Pub,442,1002.013472075,
107,2023-02-10,Pub,1344,1197.75871225,
108,2023-05-01,Pub,443,429.96817113,
109,2023-02-27,Pub,893,489.73559745,
110,2022-06-25,Pub,1798,1547.07706214,
111,2022-05-20,Pub,892,721.86012116,
112,2023-01-27,Pub,444,289.38154467,
113,2022-08-20,Pub,1343,2083.94454114,
114,2022-05-15,Pub,444,868.14463401,
115,2022-10-07,Pub,894,467.82598152,
116,2023-03-17,Pub,1800,602.20388332,
117,2022-07-26,Pub,1798,519.54080445,
118,2022-06-24,Pub,444,264.21793209,
119,2022-09-11,Pub,443,577.5691851,
120,2022-11-02,Pub,1798,404.08729235,
121,2023-04-21,Pub,1799,336.918669075,
122,2023-03-11,Pub,443,936.94556694,
123,2023-02-05,Pub,1800,1918.88695024,
124,2022-07-24,Pub,894,1243.43221404,
125,2022-10-08,Pub,1798,1928.07365207,
126,2023-04-25,Pub,1343,526.2486215,
127,2022-08-11,Pub,1798,427.17799477,
128,2022-10-09,Pub,444,943.635471749999,
129,2022-11-06,Pub,1799,943.372273410001,
130,2022-09-02,Pub,893,489.73559745,
131,2022-06-13,Pub,1344,1197.75871225,
132,2022-09-09,Pub,892,256.14391396,
133,2022-08-19,Pub,442,430.6173599,
134,2022-08-16,Pub,1344,614.50229585,
135,2023-03-02,Pub,1343,663.07326309,
136,2022-04-13,Pub,1799,494.14738131,
137,2023-01-22,Pub,1343,1673.47061637,
138,2023-02-08,Pub,894,86.17847028,
139,2022-08-08,Pub,1800,632.82441976,
140,2022-03-18,Pub,892,1141.00470764,
141,2022-08-03,Pub,892,163.00067252,
142,2023-04-19,Pub,1799,359.37991368,
143,2022-07-12,Pub,442,198.7464738,
144,2022-10-17,Pub,442,207.027576875,
145,2023-03-09,Pub,443,263.11485099,
146,2023-02-04,Pub,892,1711.50706146,
147,2022-04-23,Pub,894,1501.96762488,
148,2023-03-15,Pub,894,283.15783092,
149,2022-06-28,Pub,1799,351.892832145,
150,2022-03-06,Pub,443,1495.26244587,
151,2022-09-24,Pub,442,869.515822875,
152,2023-02-24,Pub,1343,684.12320795,
153,2022-09-27,Pub,443,314.45433411,
154,2022-08-31,Pub,443,237.44510943,
155,2022-07-19,Pub,1344,781.14698625,
156,2022-09-14,Pub,1343,547.29856636,
157,2022-04-13,Pub,1798,738.90247744,
158,2022-09-06,Pub,1344,1249.835178,
159,2022-08-07,Pub,443,481.30765425,
160,2022-04-26,Pub,1798,611.90361413,
161,2023-03-11,Pub,1342,3266.34843843001,
162,2022-08-09,Pub,443,211.77536787,
163,2022-05-07,Pub,894,1243.43221404,
164,2023-01-31,Pub,1798,253.99772662,
165,2023-04-23,Pub,893,1172.39733935,
166,2022-03-10,Pub,443,770.0922468,
167,2022-06-18,Pub,1798,1570.16776456,
168,2023-02-27,Pub,892,593.78816418,
169,2022-04-05,Pub,1799,598.9665228,
170,2022-10-28,Pub,443,340.12407567,
171,2022-11-16,Pub,1799,172.202875305,
172,2022-05-15,Pub,1344,3218.32558335,
173,2023-04-27,Pub,1344,1083.1904876,
174,2022-08-06,Pub,1799,1055.678496435,
175,2022-09-05,Pub,892,489.00201756,
176,2023-05-11,Pub,1800,347.03274632,
177,2022-05-04,Pub,1344,1010.28343555,
178,2022-11-24,Pub,894,196.97936064,
179,2022-05-19,Pub,1800,489.92858304,
180,2022-12-03,Pub,1799,1392.59716551,
181,2022-05-09,Pub,894,430.8923514,
182,2023-02-07,Pub,1798,288.63378025,
183,2022-07-01,Pub,442,347.80632915,
184,2023-04-14,Pub,892,430.78749166,
185,2022-07-02,Pub,893,1958.9423898,
186,2022-12-01,Pub,893,563.9379607,
187,2022-03-07,Pub,442,596.2394214,
188,2022-07-23,Pub,1799,1175.471800995,
189,2023-01-18,Pub,1800,571.58334688,
190,2022-09-07,Pub,1799,329.43158754,
191,2022-05-05,Pub,1798,727.35712623,
192,2022-05-05,Pub,1342,1767.50456625,
193,2022-10-21,Pub,442,380.93074145,
194,2022-11-17,Pub,892,197.92938806,
195,2022-10-03,Pub,1799,456.711973635,
196,2023-04-19,Pub,1342,1315.02339729,
197,2022-09-27,Pub,1343,378.89900748,
198,2022-12-10,Pub,442,1175.91663665,
199,2022-06-04,Pub,442,968.889059775,
200,2023-03-19,Pub,1799,1355.161757835,
201,2023-01-30,Pub,1343,557.82353879,
202,2022-10-22,Pub,1800,1755.57742256,
203,2022-03-04,Pub,894,1034.14164336,
204,2023-03-01,Pub,1799,314.45742447,
205,2023-01-12,Pub,892,244.50100878,
206,2022-08-20,Pub,442,1308.41428585,
207,2022-10-19,Pub,443,250.27998021,
208,2022-11-30,Pub,1798,357.90588751,
209,2023-04-03,Pub,1799,321.944506005,
210,2022-08-24,Pub,1343,536.77359393,
211,2023-04-20,Pub,1344,1072.77519445,
212,2022-11-20,Pub,894,1169.5649538,
213,2022-03-29,Pub,1800,785.92710196,
214,2022-04-21,Pub,442,587.958318325,
215,2022-08-13,Pub,892,1408.79152678,
216,2022-08-10,Pub,1798,611.90361413,
217,2022-12-19,Pub,892,454.07330202,
218,2022-10-03,Pub,893,727.18315985,
219,2022-09-25,Pub,893,1751.1757727,
220,2022-11-02,Pub,894,283.15783092,
221,2022-12-26,Pub,894,443.20356144,
222,2022-06-01,Pub,1798,484.90475082,
223,2022-03-28,Pub,892,1036.21856102,
224,2022-12-22,Pub,893,281.96898035,
225,2022-03-31,Pub,1343,1052.497243,
226,2023-05-08,Pub,1800,653.23811072,
227,2023-02-27,Pub,1798,750.44782865,
228,2022-11-06,Pub,1800,1204.40776664,
229,2023-03-11,Pub,1798,738.90247744,
230,2023-05-11,Pub,892,232.8581036,
231,2022-09-06,Pub,1342,1357.44350688,
232,2022-03-02,Pub,1798,2031.98181296,
233,2022-04-05,Pub,1343,915.67260141,
234,2023-03-13,Pub,1799,509.12154438,
235,2023-01-06,Pub,1344,1114.43636705,
236,2022-09-10,Pub,894,947.96317308,
237,2022-07-26,Pub,444,276.79973838,
238,2022-05-02,Pub,1342,1385.72357994,
239,2023-02-08,Pub,442,223.589783025,
240,2023-01-07,Pub,893,1780.856718,
241,2023-03-25,Pub,1799,1227.88137174,
242,2022-07-05,Pub,1800,357.2395918,
243,2022-10-25,Pub,1798,207.81632178,
244,2022-11-29,Pub,894,160.04573052,
245,2023-02-27,Pub,1800,357.2395918,
246,2023-04-08,Pub,1800,1051.30508444,
247,2022-10-07,Pub,892,617.07397454,
248,2022-07-18,Pub,1342,1442.28372606,
249,2022-10-21,Pub,893,816.22599575,
250,2023-02-23,Pub,1799,321.944506005,
251,2022-10-24,Pub,442,380.93074145,
252,2022-07-30,Pub,893,1350.48301115,
253,2022-05-07,Pub,1343,2357.59382432,
254,2022-05-19,Pub,442,372.649638375,
255,2023-03-15,Pub,1343,578.87348365,
256,2022-07-17,Pub,893,1899.5804992,
257,2022-03-21,Pub,1798,854.35598954,
258,2022-04-26,Pub,894,443.20356144,
259,2023-05-07,Pub,894,1095.69769356,
260,2023-03-09,Pub,894,357.02509116,
261,2022-03-12,Pub,444,2000.50720011,
262,2022-09-17,Pub,442,844.67251365,
263,2022-08-01,Pub,892,489.00201756,
264,2023-04-11,Pub,443,192.5230617,
265,2022-10-03,Pub,442,264.9952984,
266,2022-03-05,Pub,1799,3084.67759242001,
267,2023-05-08,Pub,443,83.42666007,
268,2022-03-09,Pub,444,1144.94437239,
269,2022-04-27,Pub,1800,653.23811072,
270,2022-07-21,Pub,443,218.19280326,
271,2022-06-21,Pub,1344,1156.09753965,
272,2022-05-06,Pub,1798,831.26528712,
273,2023-02-15,Pub,443,314.45433411,
274,2022-08-05,Pub,1799,531.582788985,
275,2022-07-21,Pub,1344,1353.9881095,
276,2022-09-16,Pub,1344,1229.0045917,
277,2023-04-10,Pub,442,306.400813775,
278,2022-11-04,Pub,1344,1270.6657643,
279,2022-10-26,Pub,1798,473.35939961,
280,2022-07-15,Pub,442,248.43309225,
281,2023-02-15,Pub,1800,408.2738192,
282,2023-01-23,Pub,1344,1301.91164375,
283,2022-07-30,Pub,1800,1592.26789488,
284,2022-12-06,Pub,892,256.14391396,
285,2022-03-19,Pub,443,1405.41835041,
286,2022-12-14,Pub,1799,351.892832145,
287,2022-03-21,Pub,1344,1833.0915944,
288,2022-07-13,Pub,1343,442.04884206,
289,2022-07-02,Pub,1343,1662.94564394,
290,2023-02-28,Pub,1799,239.58660912,
291,2022-05-15,Pub,1342,3393.60876720001,
292,2022-05-10,Pub,1342,1102.92284934,
293,2022-03-27,Pub,1800,1827.02534092,
294,2022-05-28,Pub,444,1321.08966045,
295,2022-04-17,Pub,1343,2020.79470656,
296,2022-08-12,Pub,1344,1322.74223005,
297,2022-12-08,Pub,443,154.01844936,
298,2022-04-15,Pub,442,513.42839065,
299,2022-06-15,Pub,1342,1682.66434707,
300,2022-06-26,Pub,1342,4751.05227408001,
301,2023-03-23,Pub,442,256.714195325,
302,2022-08-15,Pub,894,369.3363012,
303,2023-03-15,Pub,1798,473.35939961,
304,2023-04-01,Pub,1342,4157.17073982001,
305,2022-06-10,Pub,444,239.05431951,
306,2022-05-15,Pub,892,1152.64761282,
307,2022-04-23,Pub,442,1540.28517195,
308,2022-05-29,Pub,1800,1908.68010476,
309,2022-03-16,Pub,894,1181.87616384,
310,2022-12-24,Pub,444,1006.5445032,
311,2022-11-18,Pub,892,395.85877612,
312,2022-11-14,Pub,1343,484.14873178,
313,2022-07-19,Pub,1798,450.26869719,
314,2022-03-30,Pub,892,721.86012116,
315,2023-05-19,Pub,443,256.6974156,
316,2022-05-17,Pub,894,184.6681506,
317,2022-08-07,Pub,893,1335.6425385,
318,2022-12-01,Pub,1344,916.545797200001,
319,2022-09-11,Pub,1343,2189.19426544,
320,2022-07-09,Pub,1798,2170.52602748,
321,2022-12-12,Pub,892,465.7162072,
322,2022-06-05,Pub,1343,1768.19536824,
323,2022-05-30,Pub,444,276.79973838,
324,2023-02-09,Pub,1800,602.20388332,
325,2022-05-23,Pub,892,419.14458648,
326,2022-05-19,Pub,893,519.41654275,
327,2022-07-28,Pub,1799,479.17321824,
328,2022-05-05,Pub,1343,578.87348365,
329,2022-06-24,Pub,1799,396.815321355,
330,2022-10-15,Pub,1798,2008.89111054,
331,2023-01-20,Pub,1343,642.02331823,
332,2023-03-05,Pub,893,1513.7282103,
333,2022-11-16,Pub,443,205.35793248,
334,2022-06-25,Pub,444,1031.70811578,
335,2023-05-05,Pub,1799,366.866995215,
336,2022-07-29,Pub,1342,1611.96416442,
337,2022-10-21,Pub,1799,321.944506005,
338,2023-03-04,Pub,892,1327.29119052,
339,2022-12-20,Pub,444,264.21793209,
340,2022-08-28,Pub,893,1454.3663197,
341,2022-11-06,Pub,444,1295.92604787,
342,2023-02-08,Pub,1343,368.37403505,
343,2022-05-03,Pub,1799,262.047853725,
344,2022-05-17,Pub,1799,449.2248921,
345,2022-12-26,Pub,1344,1187.3434191,
346,2022-10-04,Pub,1344,885.299917750001,
347,2023-03-27,Pub,1343,778.84795982,
348,2022-06-27,Pub,444,402.61780128,
349,2022-08-24,Pub,893,697.50221455,
350,2022-03-17,Pub,443,738.00506985,
351,2022-12-27,Pub,1342,947.382447509999,
352,2023-04-17,Pub,442,529.9905968,
353,2022-08-21,Pub,893,1632.4519915,
354,2022-05-27,Pub,894,381.64751124,
355,2022-03-17,Pub,1800,898.20240224,
356,2022-09-12,Pub,1800,898.20240224,
357,2022-05-06,Pub,442,364.3685353,
358,2022-10-28,Pub,892,407.5016813,
359,2022-05-31,Pub,442,223.589783025,
360,2023-04-30,Pub,443,571.15174971,
361,2022-10-22,Pub,444,780.07198998,
362,2023-04-19,Pub,894,283.15783092,
363,2022-07-10,Pub,1799,980.807681085001,
364,2022-03-20,Pub,442,1225.6032551,
365,2022-04-01,Pub,894,627.87171204,
366,2022-11-26,Pub,1799,1063.16557797,
367,2022-05-06,Pub,893,742.0236325,
368,2023-03-06,Pub,1799,419.27656596,
369,2023-02-15,Pub,893,252.28803505,
370,2022-10-20,Pub,1342,1060.50273975,
371,2023-04-05,Pub,1799,299.4832614,
372,2022-04-13,Pub,1800,408.2738192,
373,2022-05-31,Pub,443,77.00922468,
374,2022-11-10,Pub,1344,906.130504050001,
375,2023-05-08,Pub,1343,663.07326309,
376,2022-11-10,Pub,444,251.6361258,
377,2022-10-19,Pub,444,314.54515725,
378,2022-11-19,Pub,893,1662.1329368,
379,2022-05-24,Pub,1343,463.09878692,
380,2023-02-04,Pub,893,1795.69719065,
381,2023-04-12,Pub,442,223.589783025,
382,2023-02-19,Pub,894,1231.121004,
383,2022-03-08,Pub,443,815.01429453,
384,2023-01-10,Pub,893,430.37370685,
385,2022-11-10,Pub,1798,392.54194114,
386,2022-10-11,Pub,894,221.60178072,
387,2023-04-12,Pub,1798,207.81632178,
388,2022-07-21,Pub,892,291.0726295,
389,2022-07-10,Pub,442,952.326853625,
390,2023-02-01,Pub,442,289.838607625,
391,2022-08-17,Pub,893,460.05465215,
392,2022-06-08,Pub,442,182.18426765,
393,2022-06-20,Pub,1799,621.427767405,
394,2022-04-29,Pub,893,801.3855231,
395,2022-07-30,Pub,443,545.48200815,
396,2023-05-07,Pub,444,767.49018369,
397,2022-03-01,Pub,1798,1858.80154481,
398,2022-08-03,Pub,442,207.027576875,
399,2022-03-15,Pub,893,1098.1949761,
400,2022-09-05,Pub,1343,557.82353879,
401,2022-07-16,Pub,893,1528.56868295,
402,2022-07-06,Pub,1800,520.54911948,
403,2023-01-22,Pub,892,1304.00538016,
404,2022-06-18,Pub,893,1855.05908125,
405,2023-03-10,Pub,1342,1117.06288587,
406,2022-10-21,Pub,1798,427.17799477,
407,2022-07-15,Pub,893,519.41654275,
408,2022-06-12,Pub,444,654.25392708,
409,2023-02-14,Pub,1342,947.382447509999,
410,2022-08-23,Pub,443,237.44510943,
411,2022-06-01,Pub,442,273.276401475,
412,2022-08-25,Pub,894,357.02509116,
413,2022-11-06,Pub,894,677.1165522,
414,2022-09-28,Pub,442,215.30867995,
415,2022-04-18,Pub,443,404.29842957,
416,2022-06-05,Pub,444,1094.61714723,
417,2022-08-31,Pub,444,515.85405789,
418,2023-05-21,Pub,892,1606.72091484,
419,2022-03-16,Pub,1798,1131.44441858,
420,2023-03-02,Pub,1344,1104.0210739,
421,2022-03-12,Pub,893,3532.0324907,
422,2023-04-07,Pub,442,364.3685353,
423,2022-03-26,Pub,1799,1467.46798086,
424,2023-01-21,Pub,1343,1705.04553366,
425,2022-09-03,Pub,444,717.16295853,
426,2023-05-16,Pub,1343,315.7491729,
427,2022-04-15,Pub,892,791.71755224,
428,2022-12-28,Pub,1342,975.662520569999,
429,2022-12-09,Pub,1344,1145.6822465,
430,2022-03-14,Pub,1799,838.55313192,
431,2022-09-13,Pub,894,283.15783092,
432,2022-03-21,Pub,892,477.35911238,
433,2022-07-15,Pub,1800,520.54911948,
434,2022-12-30,Pub,1799,441.737810565,
435,2023-05-11,Pub,443,186.10562631,
436,2022-11-03,Pub,442,331.244123,
437,2022-03-29,Pub,1342,1866.48482196,
438,2023-03-12,Pub,442,1117.948915125,
439,2023-03-23,Pub,1343,557.82353879,
440,2023-04-30,Pub,1800,1051.30508444,
441,2023-05-24,Pub,894,209.29057068,
442,2023-02-07,Pub,1800,398.06697372,
443,2022-06-10,Pub,894,418.58114136,
444,2022-04-12,Pub,1800,428.68751016,
445,2022-12-23,Pub,1342,1541.26398177,
446,2022-12-23,Pub,1799,486.660299775,
447,2022-08-11,Pub,1344,1291.4963506,
448,2023-05-21,Pub,444,855.56282772,
449,2022-05-29,Pub,893,1884.74002655,
450,2023-02-03,Pub,1343,389.42397991,
451,2022-12-08,Pub,893,400.69276155,
452,2023-02-08,Pub,443,128.3487078,
453,2022-07-22,Pub,442,438.898462975,
454,2023-03-18,Pub,1799,861.014376525,
455,2023-03-20,Pub,1342,1074.64277628,
456,2023-01-11,Pub,1798,542.63150687,
457,2023-04-04,Pub,1799,314.45742447,
458,2022-03-15,Pub,894,800.2286526,
459,2023-04-20,Pub,892,279.42972432,
460,2022-12-15,Pub,442,289.838607625,
461,2023-03-16,Pub,443,224.61023865,
462,2022-10-22,Pub,443,539.06457276,
463,2022-08-01,Pub,1343,378.89900748,
464,2022-12-09,Pub,1798,554.17685808,
465,2022-12-18,Pub,892,1583.43510448,
466,2023-04-01,Pub,894,1637.39093532,
467,2022-07-16,Pub,442,869.515822875,
468,2022-06-18,Pub,444,993.962696909999,
469,2022-10-05,Pub,892,291.0726295,
470,2023-05-09,Pub,894,357.02509116,
471,2022-05-28,Pub,1799,1295.265105555,
472,2022-07-20,Pub,443,243.86254482,
473,2022-10-19,Pub,1799,277.022016795,
474,2022-04-24,Pub,1344,2937.1126683,
475,2022-08-06,Pub,1342,3775.38975351001,
476,2023-04-12,Pub,444,213.89070693,
477,2022-11-14,Pub,893,489.73559745,
478,2023-05-18,Pub,1342,1187.76306852,
479,2023-05-18,Pub,1799,479.17321824,
480,2022-11-21,Pub,444,377.4541887,
481,2022-07-05,Pub,442,165.6220615,
482,2023-05-16,Pub,894,381.64751124,
483,2023-03-26,Pub,443,949.780437719999,
484,2022-07-06,Pub,443,179.68819092,
485,2023-04-28,Pub,1344,1218.58929855,
486,2022-06-13,Pub,443,205.35793248,
487,2022-11-19,Pub,894,1280.36584416,
488,2022-10-17,Pub,1799,486.660299775,
489,2022-12-21,Pub,894,12.31121004,
490,2023-04-27,Pub,443,218.19280326,
491,2022-06-18,Pub,1343,2073.41956871,
492,2022-04-29,Pub,892,663.64559526,
493,2022-03-08,Pub,1800,1194.20092116,
494,2023-05-13,Pub,1344,3145.4185313,
495,2022-04-16,Pub,1800,2031.16225052,
496,2022-07-21,Pub,1800,551.16965592,
497,2022-04-25,Pub,1343,652.54829066,
498,2022-09-29,Pub,893,326.4903983,
499,2022-09-26,Pub,443,198.94049709,
500,2023-05-12,Pub,444,478.10863902,
501,2022-09-18,Pub,1342,4524.8116896,
502,2022-08-26,Pub,1343,599.92342851,
503,2023-05-23,Pub,1798,658.08501897,
504,2022-07-09,Pub,442,1142.79222435,
505,2022-03-07,Pub,1343,1810.29525796,
506,2022-06-27,Pub,1343,673.59823552,
507,2022-08-18,Pub,1343,652.54829066,
508,2023-02-23,Pub,892,232.8581036,
509,2023-04-29,Pub,443,487.72508964,
510,2023-04-12,Pub,892,221.21519842,
511,2023-03-01,Pub,1798,738.90247744,
512,2022-10-19,Pub,894,135.42331044,
513,2022-12-23,Pub,893,786.54505045,
514,2022-11-27,Pub,1799,1175.471800995,
515,2022-12-15,Pub,1343,526.2486215,
516,2022-03-25,Pub,1342,2290.68591786,
517,2023-02-17,Pub,893,385.8522889,
518,2023-03-18,Pub,443,693.08302212,
519,2022-09-08,Pub,444,490.69044531,
520,2022-03-08,Pub,892,1373.86281124,
521,2023-03-10,Pub,894,443.20356144,
522,2023-02-13,Pub,443,314.45433411,
523,2022-11-21,Pub,1798,369.45123872,
524,2022-12-19,Pub,1800,479.72173756,
525,2022-12-08,Pub,1798,542.63150687,
526,2022-12-12,Pub,442,322.963019925,
527,2022-10-13,Pub,893,415.5332342,
528,2023-05-25,Pub,1800,,
529,2023-04-03,Pub,893,712.3426872,
530,2023-01-01,Pub,1799,868.501458060001,
531,2023-05-14,Pub,442,1283.570976625,
532,2023-01-26,Pub,894,246.2242008,
533,2023-05-16,Pub,1798,646.53966776,
534,2023-04-29,Pub,1800,1337.09675788,
535,2022-11-10,Pub,1342,1187.76306852,
536,2022-03-15,Pub,1342,2219.98573521,
537,2022-12-22,Pub,1342,1357.44350688,
538,2022-12-15,Pub,443,288.78459255,
539,2022-09-11,Pub,1342,3393.60876720001,
540,2023-05-09,Pub,1343,536.77359393,
541,2022-07-16,Pub,1799,1377.62300244,
542,2022-11-01,Pub,442,372.649638375,
543,2023-02-09,Pub,1344,1041.529315,
544,2023-03-20,Pub,1798,588.81291171,
545,2022-09-25,Pub,1344,3395.3855669,
546,2023-02-07,Pub,894,147.73452048,
547,2022-10-26,Pub,443,147.60101397,
548,2023-04-02,Pub,442,1076.54339975,
549,2023-02-21,Pub,894,320.09146104,
550,2022-12-13,Pub,1798,438.72334598,
551,2023-01-13,Pub,1344,1728.9386629,
552,2023-03-22,Pub,1344,1208.1740054,
553,2022-04-27,Pub,1799,471.686136705,
554,2022-12-16,Pub,1800,377.65328276,
555,2022-09-18,Pub,1343,1547.17094721,
556,2023-03-14,Pub,1800,540.96281044,
557,2022-06-25,Pub,1342,3464.30894985,
558,2022-05-23,Pub,1800,520.54911948,
559,2023-04-21,Pub,1800,469.51489208,
560,2023-03-17,Pub,442,455.460669125,
561,2023-02-16,Pub,893,445.2141795,
562,2022-05-27,Pub,1343,778.84795982,
563,2022-11-03,Pub,1800,449.10120112,
564,2022-03-06,Pub,893,3279.74445565,
565,2022-10-14,Pub,892,197.92938806,
566,2023-05-15,Pub,444,465.52683273,
567,2023-05-12,Pub,1799,404.30240289,
568,2023-04-16,Pub,1800,1449.37205816,
569,2022-09-01,Pub,1344,1291.4963506,
570,2023-01-05,Pub,892,384.21587094,
571,2022-04-09,Pub,1343,2010.26973413,
572,2022-11-11,Pub,894,443.20356144,
573,2023-02-14,Pub,1343,399.94895234,
574,2023-03-29,Pub,444,352.29057612,
575,2022-08-21,Pub,444,704.58115224,
576,2022-07-15,Pub,892,221.21519842,
577,2023-02-15,Pub,1799,336.918669075,
578,2022-03-04,Pub,1798,2147.43532506,
579,2022-08-01,Pub,442,207.027576875,
580,2022-12-02,Pub,1799,314.45742447,
581,2022-05-27,Pub,1798,900.53739438,
582,2022-04-22,Pub,1800,653.23811072,
583,2022-12-16,Pub,893,934.94977695,
584,2023-02-06,Pub,442,496.8661845,
585,2022-11-01,Pub,1344,989.452849250001,
586,2022-07-28,Pub,894,381.64751124,
587,2023-01-30,Pub,444,541.01767047,
588,2022-04-19,Pub,894,393.95872128,
589,2022-10-17,Pub,894,418.58114136,
590,2022-09-01,Pub,1342,1131.2029224,
591,2022-08-21,Pub,1799,1167.98471946,
592,2023-03-10,Pub,892,454.07330202,
593,2023-03-16,Pub,444,503.2722516,
594,2022-12-03,Pub,892,1408.79152678,
595,2022-11-12,Pub,443,834.266600699999,
596,2022-09-17,Pub,1344,3541.199671,
597,2022-10-02,Pub,892,908.14660404,
598,2022-06-12,Pub,894,911.02954296,
599,2023-02-23,Pub,1342,1682.66434707,
600,2023-02-17,Pub,1343,399.94895234,
601,2023-01-19,Pub,1798,484.90475082,
602,2022-03-04,Pub,1343,2241.81912759,
603,2023-01-14,Pub,892,1222.5050439,
604,2023-02-16,Pub,894,196.97936064,
605,2023-04-26,Pub,444,239.05431951,
606,2022-07-23,Pub,1344,2999.6044272,
607,2022-03-23,Pub,893,1409.84490175,
608,2023-01-05,Pub,1343,452.57381449,
609,2023-04-13,Pub,444,327.12696354,
